Date,Year,Quarter,Month_Number,Month_Name,Week_Number,Day_Name,Is_Weekend,Financial_Year
2024-01-01,2024,Q1,1,January,1,Monday,False,FY2024-25
2024-01-02,2024,Q1,1,January,1,Tuesday,False,FY2024-25
2024-01-03,2024,Q1,1,January,1,Wednesday,False,FY2024-25
2024-01-04,2024,Q1,1,January,1,Thursday,False,FY2024-25
2024-01-05,2024,Q1,1,January,1,Friday,False,FY2024-25
2024-01-06,2024,Q1,1,January,1,Saturday,True,FY2024-25
2024-01-07,2024,Q1,1,January,1,Sunday,True,FY2024-25
2024-01-08,2024,Q1,1,January,2,Monday,False,FY2024-25
2024-01-09,2024,Q1,1,January,2,Tuesday,False,FY2024-25
2024-01-10,2024,Q1,1,January,2,Wednesday,False,FY2024-25
2024-01-11,2024,Q1,1,January,2,Thursday,False,FY2024-25
2024-01-12,2024,Q1,1,January,2,Friday,False,FY2024-25
2024-01-13,2024,Q1,1,January,2,Saturday,True,FY2024-25
2024-01-14,2024,Q1,1,January,2,Sunday,True,FY2024-25
2024-01-15,2024,Q1,1,January,3,Monday,False,FY2024-25
2024-01-16,2024,Q1,1,January,3,Tuesday,False,FY2024-25
2024-01-17,2024,Q1,1,January,3,Wednesday,False,FY2024-25
2024-01-18,2024,Q1,1,January,3,Thursday,False,FY2024-25
2024-01-19,2024,Q1,1,January,3,Friday,False,FY2024-25
2024-01-20,2024,Q1,1,January,3,Saturday,True,FY2024-25
2024-01-21,2024,Q1,1,January,3,Sunday,True,FY2024-25
2024-01-22,2024,Q1,1,January,4,Monday,False,FY2024-25
2024-01-23,2024,Q1,1,January,4,Tuesday,False,FY2024-25
2024-01-24,2024,Q1,1,January,4,Wednesday,False,FY2024-25
2024-01-25,2024,Q1,1,January,4,Thursday,False,FY2024-25
2024-01-26,2024,Q1,1,January,4,Friday,False,FY2024-25
2024-01-27,2024,Q1,1,January,4,Saturday,True,FY2024-25
2024-01-28,2024,Q1,1,January,4,Sunday,True,FY2024-25
2024-01-29,2024,Q1,1,January,5,Monday,False,FY2024-25
2024-01-30,2024,Q1,1,January,5,Tuesday,False,FY2024-25
2024-01-31,2024,Q1,1,January,5,Wednesday,False,FY2024-25
2024-02-01,2024,Q1,2,February,5,Thursday,False,FY2024-25
2024-02-02,2024,Q1,2,February,5,Friday,False,FY2024-25
2024-02-03,2024,Q1,2,February,5,Saturday,True,FY2024-25
2024-02-04,2024,Q1,2,February,5,Sunday,True,FY2024-25
2024-02-05,2024,Q1,2,February,6,Monday,False,FY2024-25
2024-02-06,2024,Q1,2,February,6,Tuesday,False,FY2024-25
2024-02-07,2024,Q1,2,February,6,Wednesday,False,FY2024-25
2024-02-08,2024,Q1,2,February,6,Thursday,False,FY2024-25
2024-02-09,2024,Q1,2,February,6,Friday,False,FY2024-25
2024-02-10,2024,Q1,2,February,6,Saturday,True,FY2024-25
2024-02-11,2024,Q1,2,February,6,Sunday,True,FY2024-25
2024-02-12,2024,Q1,2,February,7,Monday,False,FY2024-25
2024-02-13,2024,Q1,2,February,7,Tuesday,False,FY2024-25
2024-02-14,2024,Q1,2,February,7,Wednesday,False,FY2024-25
2024-02-15,2024,Q1,2,February,7,Thursday,False,FY2024-25
2024-02-16,2024,Q1,2,February,7,Friday,False,FY2024-25
2024-02-17,2024,Q1,2,February,7,Saturday,True,FY2024-25
2024-02-18,2024,Q1,2,February,7,Sunday,True,FY2024-25
2024-02-19,2024,Q1,2,February,8,Monday,False,FY2024-25
2024-02-20,2024,Q1,2,February,8,Tuesday,False,FY2024-25
2024-02-21,2024,Q1,2,February,8,Wednesday,False,FY2024-25
2024-02-22,2024,Q1,2,February,8,Thursday,False,FY2024-25
2024-02-23,2024,Q1,2,February,8,Friday,False,FY2024-25
2024-02-24,2024,Q1,2,February,8,Saturday,True,FY2024-25
2024-02-25,2024,Q1,2,February,8,Sunday,True,FY2024-25
2024-02-26,2024,Q1,2,February,9,Monday,False,FY2024-25
2024-02-27,2024,Q1,2,February,9,Tuesday,False,FY2024-25
2024-02-28,2024,Q1,2,February,9,Wednesday,False,FY2024-25
2024-02-29,2024,Q1,2,February,9,Thursday,False,FY2024-25
2024-03-01,2024,Q1,3,March,9,Friday,False,FY2024-25
2024-03-02,2024,Q1,3,March,9,Saturday,True,FY2024-25
2024-03-03,2024,Q1,3,March,9,Sunday,True,FY2024-25
2024-03-04,2024,Q1,3,March,10,Monday,False,FY2024-25
2024-03-05,2024,Q1,3,March,10,Tuesday,False,FY2024-25
2024-03-06,2024,Q1,3,March,10,Wednesday,False,FY2024-25
2024-03-07,2024,Q1,3,March,10,Thursday,False,FY2024-25
2024-03-08,2024,Q1,3,March,10,Friday,False,FY2024-25
2024-03-09,2024,Q1,3,March,10,Saturday,True,FY2024-25
2024-03-10,2024,Q1,3,March,10,Sunday,True,FY2024-25
2024-03-11,2024,Q1,3,March,11,Monday,False,FY2024-25
2024-03-12,2024,Q1,3,March,11,Tuesday,False,FY2024-25
2024-03-13,2024,Q1,3,March,11,Wednesday,False,FY2024-25
2024-03-14,2024,Q1,3,March,11,Thursday,False,FY2024-25
2024-03-15,2024,Q1,3,March,11,Friday,False,FY2024-25
2024-03-16,2024,Q1,3,March,11,Saturday,True,FY2024-25
2024-03-17,2024,Q1,3,March,11,Sunday,True,FY2024-25
2024-03-18,2024,Q1,3,March,12,Monday,False,FY2024-25
2024-03-19,2024,Q1,3,March,12,Tuesday,False,FY2024-25
2024-03-20,2024,Q1,3,March,12,Wednesday,False,FY2024-25
2024-03-21,2024,Q1,3,March,12,Thursday,False,FY2024-25
2024-03-22,2024,Q1,3,March,12,Friday,False,FY2024-25
2024-03-23,2024,Q1,3,March,12,Saturday,True,FY2024-25
2024-03-24,2024,Q1,3,March,12,Sunday,True,FY2024-25
2024-03-25,2024,Q1,3,March,13,Monday,False,FY2024-25
2024-03-26,2024,Q1,3,March,13,Tuesday,False,FY2024-25
2024-03-27,2024,Q1,3,March,13,Wednesday,False,FY2024-25
2024-03-28,2024,Q1,3,March,13,Thursday,False,FY2024-25
2024-03-29,2024,Q1,3,March,13,Friday,False,FY2024-25
2024-03-30,2024,Q1,3,March,13,Saturday,True,FY2024-25
2024-03-31,2024,Q1,3,March,13,Sunday,True,FY2024-25
2024-04-01,2024,Q2,4,April,14,Monday,False,FY2025-26
2024-04-02,2024,Q2,4,April,14,Tuesday,False,FY2025-26
2024-04-03,2024,Q2,4,April,14,Wednesday,False,FY2025-26
2024-04-04,2024,Q2,4,April,14,Thursday,False,FY2025-26
2024-04-05,2024,Q2,4,April,14,Friday,False,FY2025-26
2024-04-06,2024,Q2,4,April,14,Saturday,True,FY2025-26
2024-04-07,2024,Q2,4,April,14,Sunday,True,FY2025-26
2024-04-08,2024,Q2,4,April,15,Monday,False,FY2025-26
2024-04-09,2024,Q2,4,April,15,Tuesday,False,FY2025-26
2024-04-10,2024,Q2,4,April,15,Wednesday,False,FY2025-26
2024-04-11,2024,Q2,4,April,15,Thursday,False,FY2025-26
2024-04-12,2024,Q2,4,April,15,Friday,False,FY2025-26
2024-04-13,2024,Q2,4,April,15,Saturday,True,FY2025-26
2024-04-14,2024,Q2,4,April,15,Sunday,True,FY2025-26
2024-04-15,2024,Q2,4,April,16,Monday,False,FY2025-26
2024-04-16,2024,Q2,4,April,16,Tuesday,False,FY2025-26
2024-04-17,2024,Q2,4,April,16,Wednesday,False,FY2025-26
2024-04-18,2024,Q2,4,April,16,Thursday,False,FY2025-26
2024-04-19,2024,Q2,4,April,16,Friday,False,FY2025-26
2024-04-20,2024,Q2,4,April,16,Saturday,True,FY2025-26
2024-04-21,2024,Q2,4,April,16,Sunday,True,FY2025-26
2024-04-22,2024,Q2,4,April,17,Monday,False,FY2025-26
2024-04-23,2024,Q2,4,April,17,Tuesday,False,FY2025-26
2024-04-24,2024,Q2,4,April,17,Wednesday,False,FY2025-26
2024-04-25,2024,Q2,4,April,17,Thursday,False,FY2025-26
2024-04-26,2024,Q2,4,April,17,Friday,False,FY2025-26
2024-04-27,2024,Q2,4,April,17,Saturday,True,FY2025-26
2024-04-28,2024,Q2,4,April,17,Sunday,True,FY2025-26
2024-04-29,2024,Q2,4,April,18,Monday,False,FY2025-26
2024-04-30,2024,Q2,4,April,18,Tuesday,False,FY2025-26
2024-05-01,2024,Q2,5,May,18,Wednesday,False,FY2025-26
2024-05-02,2024,Q2,5,May,18,Thursday,False,FY2025-26
2024-05-03,2024,Q2,5,May,18,Friday,False,FY2025-26
2024-05-04,2024,Q2,5,May,18,Saturday,True,FY2025-26
2024-05-05,2024,Q2,5,May,18,Sunday,True,FY2025-26
2024-05-06,2024,Q2,5,May,19,Monday,False,FY2025-26
2024-05-07,2024,Q2,5,May,19,Tuesday,False,FY2025-26
2024-05-08,2024,Q2,5,May,19,Wednesday,False,FY2025-26
2024-05-09,2024,Q2,5,May,19,Thursday,False,FY2025-26
2024-05-10,2024,Q2,5,May,19,Friday,False,FY2025-26
2024-05-11,2024,Q2,5,May,19,Saturday,True,FY2025-26
2024-05-12,2024,Q2,5,May,19,Sunday,True,FY2025-26
2024-05-13,2024,Q2,5,May,20,Monday,False,FY2025-26
2024-05-14,2024,Q2,5,May,20,Tuesday,False,FY2025-26
2024-05-15,2024,Q2,5,May,20,Wednesday,False,FY2025-26
2024-05-16,2024,Q2,5,May,20,Thursday,False,FY2025-26
2024-05-17,2024,Q2,5,May,20,Friday,False,FY2025-26
2024-05-18,2024,Q2,5,May,20,Saturday,True,FY2025-26
2024-05-19,2024,Q2,5,May,20,Sunday,True,FY2025-26
2024-05-20,2024,Q2,5,May,21,Monday,False,FY2025-26
2024-05-21,2024,Q2,5,May,21,Tuesday,False,FY2025-26
2024-05-22,2024,Q2,5,May,21,Wednesday,False,FY2025-26
2024-05-23,2024,Q2,5,May,21,Thursday,False,FY2025-26
2024-05-24,2024,Q2,5,May,21,Friday,False,FY2025-26
2024-05-25,2024,Q2,5,May,21,Saturday,True,FY2025-26
2024-05-26,2024,Q2,5,May,21,Sunday,True,FY2025-26
2024-05-27,2024,Q2,5,May,22,Monday,False,FY2025-26
2024-05-28,2024,Q2,5,May,22,Tuesday,False,FY2025-26
2024-05-29,2024,Q2,5,May,22,Wednesday,False,FY2025-26
2024-05-30,2024,Q2,5,May,22,Thursday,False,FY2025-26
2024-05-31,2024,Q2,5,May,22,Friday,False,FY2025-26
2024-06-01,2024,Q2,6,June,22,Saturday,True,FY2025-26
2024-06-02,2024,Q2,6,June,22,Sunday,True,FY2025-26
2024-06-03,2024,Q2,6,June,23,Monday,False,FY2025-26
2024-06-04,2024,Q2,6,June,23,Tuesday,False,FY2025-26
2024-06-05,2024,Q2,6,June,23,Wednesday,False,FY2025-26
2024-06-06,2024,Q2,6,June,23,Thursday,False,FY2025-26
2024-06-07,2024,Q2,6,June,23,Friday,False,FY2025-26
2024-06-08,2024,Q2,6,June,23,Saturday,True,FY2025-26
2024-06-09,2024,Q2,6,June,23,Sunday,True,FY2025-26
2024-06-10,2024,Q2,6,June,24,Monday,False,FY2025-26
2024-06-11,2024,Q2,6,June,24,Tuesday,False,FY2025-26
2024-06-12,2024,Q2,6,June,24,Wednesday,False,FY2025-26
