Product_ID,Product_Name,Category,Sub_Category,Brand,Supplier,Standard_Cost,List_Price
PROD0001,Electronics Audio 001,Electronics,Audio,Brand_11,Supplier_23,8193.95,12001.3
PROD0002,Electronics Laptops 002,Electronics,Laptops,Brand_08,Supplier_20,4465.88,6109.4
PROD0003,Electronics Smartphones 003,Electronics,Smartphones,Brand_03,Supplier_24,11295.03,15842.07
PROD0004,Electronics Accessories 004,Electronics,Accessories,Brand_17,Supplier_22,11389.03,15906.36
PROD0005,Electronics Accessories 005,Electronics,Accessories,Brand_08,Supplier_15,4511.0,5395.83
PROD0006,Electronics Accessories 006,Electronics,Accessories,Brand_15,Supplier_20,9268.89,13675.14
PROD0007,Electronics Audio 007,Electronics,Audio,Brand_05,Supplier_13,4508.15,6620.23
PROD0008,Electronics Audio 008,Electronics,Audio,Brand_07,Supplier_08,5181.64,8891.61
PROD0009,Electronics Audio 009,Electronics,Audio,Brand_04,Supplier_23,4710.9,6992.14
PROD0010,Electronics Smartphones 010,Electronics,Smartphones,Brand_05,Supplier_19,9086.18,11772.01
PROD0011,Electronics Accessories 011,Electronics,Accessories,Brand_13,Supplier_10,3181.57,4711.27
PROD0012,Electronics Laptops 012,Electronics,Laptops,Brand_09,Supplier_16,224.47,332.97
PROD0013,Electronics Audio 013,Electronics,Audio,Brand_04,Supplier_28,7215.59,10350.0
PROD0014,Electronics Accessories 014,Electronics,Accessories,Brand_02,Supplier_30,4671.12,6922.67
PROD0015,Electronics Accessories 015,Electronics,Accessories,Brand_19,Supplier_20,11837.64,18083.63
PROD0016,Electronics Laptops 016,Electronics,Laptops,Brand_20,Supplier_25,3170.52,5085.97
PROD0017,Electronics Laptops 017,Electronics,Laptops,Brand_18,Supplier_19,8240.67,9986.93
PROD0018,Electronics Smartphones 018,Electronics,Smartphones,Brand_11,Supplier_03,10343.69,12486.26
PROD0019,Electronics Laptops 019,Electronics,Laptops,Brand_11,Supplier_08,5791.27,9684.46
PROD0020,Electronics Audio 020,Electronics,Audio,Brand_06,Supplier_12,2372.24,4124.29
PROD0021,Electronics Laptops 021,Electronics,Laptops,Brand_17,Supplier_16,10976.26,18499.86
PROD0022,Electronics Accessories 022,Electronics,Accessories,Brand_01,Supplier_20,11589.01,15694.57
PROD0023,Electronics Laptops 023,Electronics,Laptops,Brand_04,Supplier_20,9313.05,12094.54
PROD0024,Electronics Audio 024,Electronics,Audio,Brand_13,Supplier_27,5167.32,6673.1
PROD0025,Electronics Laptops 025,Electronics,Laptops,Brand_19,Supplier_01,3278.54,5285.3
PROD0026,Electronics Audio 026,Electronics,Audio,Brand_03,Supplier_06,7027.37,12026.19
PROD0027,Electronics Accessories 027,Electronics,Accessories,Brand_12,Supplier_05,8216.21,10298.65
PROD0028,Electronics Audio 028,Electronics,Audio,Brand_04,Supplier_06,11834.89,19962.64
PROD0029,Electronics Audio 029,Electronics,Audio,Brand_14,Supplier_30,9521.15,13777.49
PROD0030,Electronics Accessories 030,Electronics,Accessories,Brand_04,Supplier_27,6535.07,10355.74
PROD0031,Electronics Accessories 031,Electronics,Accessories,Brand_20,Supplier_06,2059.62,3348.21
PROD0032,Electronics Accessories 032,Electronics,Accessories,Brand_06,Supplier_28,10508.51,16577.15
PROD0033,Electronics Smartphones 033,Electronics,Smartphones,Brand_09,Supplier_15,6680.7,8818.49
PROD0034,Electronics Smartphones 034,Electronics,Smartphones,Brand_05,Supplier_17,9428.55,15512.32
PROD0035,Electronics Smartphones 035,Electronics,Smartphones,Brand_09,Supplier_09,553.39,717.8
