Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Channel,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status
ORD000001,2025-02-09,CUST01598,PROD0124,R019,Online,5,10142.95,0.36,50532.18,34410.75,16121.43,Credit Card,Completed
ORD000002,2026-01-19,CUST05309,PROD0147,R003,Store,2,5213.69,13.33,9037.41,6554.02,2483.39,UPI,Cancelled
ORD000003,2024-05-18,CUST03374,PROD0162,R015,Online,1,14802.17,3.85,14232.29,8727.21,5505.08,UPI,Completed
ORD000004,2024-06-13,CUST05538,PROD0045,R006,Online,1,2884.24,11.3,2558.32,1843.05,715.27,Debit Card,Completed
ORD000005,2026-03-04,CUST03609,PROD0049,R021,Store,1,1295.82,13.79,1117.13,1040.43,76.7,Credit Card,Completed
ORD000006,2025-11-27,CUST03585,PROD0044,R022,Marketplace,3,13681.96,9.09,37314.81,28870.35,8444.46,UPI,Cancelled
ORD000007,2025-10-27,CUST02507,PROD0008,R020,Marketplace,2,8891.61,11.2,15791.5,10363.28,5428.22,Debit Card,Completed
ORD000008,2024-04-15,CUST02522,PROD0138,R007,Online,1,12600.9,3.44,12167.43,8161.0,4006.43,Credit Card,Completed
ORD000009,2024-05-28,CUST01583,PROD0149,R025,Online,2,15077.01,16.95,25042.91,18704.44,6338.47,UPI,Cancelled
ORD000010,2024-07-03,CUST05281,PROD0019,R022,Online,2,9684.46,12.73,16903.26,11582.54,5320.72,UPI,Completed
ORD000011,2025-02-13,CUST04963,PROD0075,R003,Marketplace,1,16358.29,19.57,13156.97,10440.83,2716.14,Credit Card,Cancelled
ORD000012,2026-02-21,CUST01006,PROD0009,R003,Store,1,6992.14,13.23,6067.08,4710.9,1356.18,Net Banking,Completed
ORD000013,2026-05-20,CUST02459,PROD0059,R004,Store,3,4032.23,0.0,12096.69,9919.05,2177.64,Net Banking,Completed
ORD000014,2025-12-03,CUST03508,PROD0172,R014,Online,1,13612.05,0.0,13612.05,8504.86,5107.19,Credit Card,Completed
ORD000015,2025-11-05,CUST00724,PROD0084,R017,Store,2,8327.08,10.71,14870.5,11559.98,3310.52,Credit Card,Completed
ORD000016,2026-06-25,CUST01292,PROD0111,R020,Online,1,4589.0,12.07,4035.11,2879.36,1155.75,Debit Card,Completed
ORD000017,2024-07-19,CUST00762,PROD0038,R006,Online,3,5926.22,2.41,17350.19,14836.38,2513.81,UPI,Completed
ORD000018,2025-09-09,CUST03493,PROD0074,R024,Online,6,2745.78,22.55,12759.64,13281.66,-522.02,Credit Card,Completed
ORD000019,2025-12-27,CUST04102,PROD0061,R012,Online,1,7568.74,12.55,6618.86,5363.41,1255.45,Net Banking,Completed
ORD000020,2026-04-15,CUST05076,PROD0118,R023,Store,4,11702.39,5.69,44146.1,35108.04,9038.06,Net Banking,Completed
ORD000021,2024-08-07,CUST05335,PROD0001,R016,Online,4,12001.3,9.45,43468.71,32775.8,10692.91,Debit Card,Completed
ORD000022,2026-05-06,CUST00463,PROD0029,R012,Online,3,13777.49,14.8,35215.26,28563.45,6651.81,UPI,Completed
ORD000023,2025-04-14,CUST04479,PROD0031,R005,Online,1,3348.21,18.53,2727.79,2059.62,668.17,UPI,Completed
ORD000024,2025-12-29,CUST03420,PROD0090,R020,Online,3,6354.08,15.33,16140.0,14384.43,1755.57,UPI,Completed
ORD000025,2025-03-09,CUST02850,PROD0148,R008,Online,2,8761.87,20.54,13924.36,14265.32,-340.96,Net Banking,Completed
ORD000026,2024-01-29,CUST05512,PROD0124,R018,Online,3,10142.95,12.45,26640.46,20646.45,5994.01,Credit Card,Completed
ORD000027,2026-01-19,CUST04614,PROD0070,R023,Online,1,13770.36,12.74,12016.02,8476.22,3539.8,Cash,Completed
ORD000028,2024-03-04,CUST04284,PROD0060,R022,Store,5,15188.92,5.4,71843.59,54041.9,17801.69,UPI,Completed
ORD000029,2024-04-05,CUST03249,PROD0076,R009,Online,1,7447.92,7.28,6905.71,6297.76,607.95,UPI,Completed
ORD000030,2025-10-27,CUST01810,PROD0145,R001,Online,6,1029.53,19.19,4991.78,4368.36,623.42,Credit Card,Completed
ORD000031,2025-06-23,CUST04223,PROD0116,R025,Marketplace,1,1812.54,0.0,1812.54,1473.06,339.48,UPI,Completed
ORD000032,2025-05-24,CUST03214,PROD0054,R011,Online,1,17939.72,5.62,16931.51,11623.82,5307.69,UPI,Completed
ORD000033,2024-12-05,CUST02964,PROD0123,R022,Online,2,10275.68,12.61,17959.83,12578.92,5380.91,Net Banking,Completed
ORD000034,2025-11-18,CUST01450,PROD0125,R001,Marketplace,2,12200.98,9.43,22100.86,20202.9,1897.96,Debit Card,Cancelled
ORD000035,2024-09-07,CUST02797,PROD0024,R022,Store,4,6673.1,14.31,22872.72,20669.28,2203.44,UPI,Completed
ORD000036,2025-12-06,CUST02417,PROD0058,R025,Marketplace,4,2824.28,5.72,10650.92,7275.24,3375.68,Net Banking,Completed
