Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Channel,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Gross_Sales,Discount_Amount,Profit_Margin_Percent,Selling_Price_Per_Unit,Cost_Per_Unit,Year,Month,Month_Name,Quarter
ORD000001,2025-02-09,CUST01598,PROD0124,R019,Online,5,10142.95,0.36,50532.18,34410.75,16121.43,Credit Card,Completed,50714.75,182.57309999999998,31.90329409892864,10106.436,6882.15,2025,2,February,Q1
ORD000002,2026-01-19,CUST05309,PROD0147,R003,Store,2,5213.69,13.33,9037.41,6554.02,2483.39,UPI,Cancelled,10427.38,1389.969754,27.47900117400893,4518.705,3277.01,2026,1,January,Q1
ORD000003,2024-05-18,CUST03374,PROD0162,R015,Online,1,14802.17,3.85,14232.29,8727.21,5505.08,UPI,Completed,14802.17,569.883545,38.68021239027591,14232.29,8727.21,2024,5,May,Q2
ORD000004,2024-06-13,CUST05538,PROD0045,R006,Online,1,2884.24,11.3,2558.32,1843.05,715.27,Debit Card,Completed,2884.24,325.91912,27.958582194565178,2558.32,1843.05,2024,6,June,Q2
ORD000005,2026-03-04,CUST03609,PROD0049,R021,Store,1,1295.82,13.79,1117.13,1040.43,76.7,Credit Card,Completed,1295.82,178.69357799999997,6.865807918505455,1117.13,1040.43,2026,3,March,Q1
ORD000006,2025-11-27,CUST03585,PROD0044,R022,Marketplace,3,13681.96,9.09,37314.81,28870.35,8444.46,UPI,Cancelled,41045.88,3731.0704919999994,22.630317560239487,12438.269999999999,9623.449999999999,2025,11,November,Q4
ORD000007,2025-10-27,CUST02507,PROD0008,R020,Marketplace,2,8891.61,11.2,15791.5,10363.28,5428.22,Debit Card,Completed,17783.22,1991.7206400000002,34.374315296203655,7895.75,5181.64,2025,10,October,Q4
ORD000008,2024-04-15,CUST02522,PROD0138,R007,Online,1,12600.9,3.44,12167.43,8161.0,4006.43,Credit Card,Completed,12600.9,433.47096,32.9274957817715,12167.43,8161.0,2024,4,April,Q2
ORD000009,2024-05-28,CUST01583,PROD0149,R025,Online,2,15077.01,16.95,25042.91,18704.44,6338.47,UPI,Cancelled,30154.02,5111.10639,25.31043716564888,12521.455,9352.22,2024,5,May,Q2
ORD000010,2024-07-03,CUST05281,PROD0019,R022,Online,2,9684.46,12.73,16903.26,11582.54,5320.72,UPI,Completed,19368.92,2465.663516,31.477478308917927,8451.63,5791.27,2024,7,July,Q3
