Product_ID,Product_Name,Category,Loss_Making_Orders,Revenue,Total_Profit,Average_Profit_Per_Order
PROD0018,Electronics Smartphones 018,Electronics,34,864377.62,-35523.41,-1044.81
PROD0017,Electronics Laptops 017,Electronics,34,664124.84,-28091.44,-826.22
PROD0076,Fashion Footwear 076,Fashion,55,766005.91,-27511.85,-500.22
PROD0107,Fashion Women 107,Fashion,50,698273.08,-24355.82,-487.12
PROD0125,Beauty Fragrance 125,Beauty,34,687255.56,-19845.94,-583.7
PROD0068,Home Appliances 068,Home,29,736822.65,-18292.59,-630.78
PROD0085,Fashion Men 085,Fashion,29,435801.86,-16937.89,-584.07
PROD0038,Home Furniture 038,Home,42,487533.5,-16903.42,-402.46
PROD0005,Electronics Accessories 005,Electronics,42,474983.0,-16716.0,-398.0
PROD0148,Sports Equipment 148,Sports,21,450050.79,-13572.11,-646.29
PROD0170,Sports Fitness 170,Sports,15,418040.45,-12981.79,-865.45
PROD0050,Home Kitchen 050,Home,21,355432.06,-12149.15,-578.53
PROD0113,Beauty Haircare 113,Beauty,16,430614.7,-10222.16,-638.88
PROD0136,Beauty Fragrance 136,Beauty,18,369916.24,-9412.08,-522.89
PROD0072,Home Kitchen 072,Home,23,224210.54,-8665.6,-376.77
PROD0082,Fashion Accessories 082,Fashion,58,235369.48,-8121.53,-140.03
PROD0059,Home Furniture 059,Home,28,202008.66,-6291.39,-224.69
PROD0071,Home Decor 071,Home,12,267876.48,-5709.69,-475.81
PROD0047,Home Appliances 047,Home,9,117712.74,-5581.42,-620.16
PROD0165,Sports Outdoor 165,Sports,11,240088.13,-5511.43,-501.04
PROD0056,Home Furniture 056,Home,25,190152.37,-5363.01,-214.52
PROD0142,Beauty Skincare 142,Beauty,36,146603.1,-5069.08,-140.81
PROD0027,Electronics Accessories 027,Electronics,11,233629.0,-4641.09,-421.92
PROD0051,Home Kitchen 051,Home,7,103690.47,-3744.27,-534.9
PROD0156,Sports Fitness 156,Sports,59,94694.93,-3288.67,-55.74
PROD0074,Fashion Men 074,Fashion,15,103167.2,-3086.08,-205.74
PROD0010,Electronics Smartphones 010,Electronics,5,88596.15,-2265.65,-453.13
PROD0048,Home Furniture 048,Home,12,81749.17,-2143.33,-178.61
PROD0157,Sports Fitness 157,Sports,7,162710.19,-2106.81,-300.97
PROD0066,Home Appliances 066,Home,5,69842.92,-1988.78,-397.76
PROD0116,Beauty Makeup 116,Beauty,18,57057.48,-1864.92,-103.61
PROD0146,Sports Sportswear 146,Sports,6,31573.94,-1849.96,-308.33
PROD0033,Electronics Smartphones 033,Electronics,3,45112.75,-1652.15,-550.72
PROD0118,Beauty Fragrance 118,Beauty,2,59789.85,-1649.22,-824.61
PROD0064,Home Appliances 064,Home,4,82993.41,-1643.15,-410.79
PROD0174,Sports Outdoor 174,Sports,15,53324.27,-1255.18,-83.68
PROD0175,Sports Sportswear 175,Sports,3,42296.29,-1138.92,-379.64
PROD0173,Sports Outdoor 173,Sports,8,24564.66,-1103.2,-137.9
PROD0049,Home Kitchen 049,Home,13,29136.24,-1036.23,-79.71
PROD0065,Home Kitchen 065,Home,7,63696.01,-978.09,-139.73
PROD0086,Fashion Footwear 086,Fashion,7,37014.18,-882.25,-126.04
PROD0080,Fashion Footwear 080,Fashion,4,42396.86,-692.18,-173.04
PROD0002,Electronics Laptops 002,Electronics,1,21694.48,-634.92,-634.92
PROD0151,Sports Fitness 151,Sports,8,44102.32,-598.28,-74.78
PROD0022,Electronics Accessories 022,Electronics,1,11025.44,-563.57,-563.57
PROD0090,Fashion Men 090,Fashion,2,33004.36,-559.31,-279.65
PROD0103,Fashion Accessories 103,Fashion,3,26518.54,-523.51,-174.5
PROD0023,Electronics Laptops 023,Electronics,4,55363.96,-514.34,-128.59
PROD0127,Beauty Skincare 127,Beauty,4,14933.34,-448.46,-112.12
PROD0095,Fashion Accessories 095,Fashion,5,24740.57,-437.08,-87.42
PROD0024,Electronics Audio 024,Electronics,1,20238.18,-431.1,-431.1
PROD0132,Beauty Haircare 132,Beauty,1,14004.61,-373.64,-373.64
PROD0035,Electronics Smartphones 035,Electronics,6,12994.55,-286.81,-47.8
PROD0060,Home Kitchen 060,Home,1,10536.55,-271.83,-271.83
PROD0053,Home Appliances 053,Home,2,9089.3,-248.2,-124.1
PROD0094,Fashion Accessories 094,Fashion,1,9125.16,-208.36,-208.36
PROD0057,Home Furniture 057,Home,2,35819.96,-167.84,-83.92
PROD0179,Sports Fitness 179,Sports,2,22611.84,-146.22,-73.11
PROD0039,Home Kitchen 039,Home,2,4491.46,-139.02,-69.51
PROD0141,Beauty Fragrance 141,Beauty,3,7494.7,-132.5,-44.17
PROD0134,Beauty Skincare 134,Beauty,1,4821.91,-58.84,-58.84
PROD0150,Sports Fitness 150,Sports,2,5062.59,-11.31,-5.66
PROD0061,Home Appliances 061,Home,1,5357.15,-6.26,-6.26
