Region_ID,Region,Loss_Making_Orders,Revenue,Total_Loss
R001,West,44,714550.17,-25787.61
R013,East,47,531046.16,-20603.99
R025,Central,44,491024.81,-19543.41
R011,North,31,446234.79,-18023.92
R024,Central,47,465873.6,-17569.1
R016,South,44,548851.2,-17143.12
R005,North,33,430164.51,-17046.4
R022,South,41,424106.8,-16332.83
R018,South,35,426517.44,-16134.48
R007,North,32,482748.78,-15603.62
R010,North,49,640725.87,-15314.22
R002,West,35,526290.64,-14843.81
R014,East,28,435858.01,-14096.35
R006,North,35,436077.36,-13457.68
R012,East,31,407128.66,-11820.82
R009,North,41,565203.36,-11687.15
R017,South,36,461813.29,-11588.24
R003,West,34,374340.68,-11510.98
R015,South,30,371996.64,-11382.07
R023,South,39,443867.25,-10874.45
R004,West,28,314939.64,-10783.11
R008,North,25,345077.89,-10603.58
R020,South,34,435806.51,-9564.74
R021,South,34,367849.54,-9166.48
R019,South,29,275227.1,-8118.17
