Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Channel,Quantity,Unit_Price,Discount_Percent,Revenue,Cost,Profit,Profitability_Status
ORD009457,2025-11-25 00:00:00,CUST04944,PROD0017,R011,Online,5,9986.93,24.54,37680.69,41203.35,-3522.66,Loss-Making
ORD001931,2024-11-21 00:00:00,CUST04623,PROD0018,R004,Marketplace,4,12486.26,24.21,37853.35,41374.76,-3521.41,Loss-Making
ORD007261,2025-11-10 00:00:00,CUST03511,PROD0018,R001,Store,5,12486.26,22.73,48240.67,51718.45,-3477.78,Loss-Making
ORD048800,2025-07-13 00:00:00,CUST05992,PROD0018,R022,Online,4,12486.26,23.89,38013.17,41374.76,-3361.59,Loss-Making
ORD064446,2024-03-13 00:00:00,CUST03229,PROD0018,R014,Marketplace,4,12486.26,23.21,38352.8,41374.76,-3021.96,Loss-Making
ORD030857,2024-07-29 00:00:00,CUST03863,PROD0125,R017,Online,4,12200.98,23.3,37432.61,40405.8,-2973.19,Loss-Making
ORD073471,2024-04-09 00:00:00,CUST05891,PROD0068,R018,Online,4,14057.37,23.87,42807.5,45764.56,-2957.06,Loss-Making
ORD072378,2025-05-17 00:00:00,CUST02588,PROD0068,R001,Online,5,14057.37,22.76,54289.56,57205.7,-2916.14,Loss-Making
ORD050222,2025-09-23 00:00:00,CUST01674,PROD0018,R025,Store,3,12486.26,24.72,28198.97,31031.07,-2832.1,Loss-Making
ORD055140,2024-07-14 00:00:00,CUST03722,PROD0017,R005,Store,5,9986.93,22.83,38534.57,41203.35,-2668.78,Loss-Making
ORD026305,2025-07-08 00:00:00,CUST00856,PROD0018,R016,Online,6,12486.26,20.56,59514.51,62062.14,-2547.63,Loss-Making
ORD045051,2025-02-09 00:00:00,CUST02874,PROD0018,R018,Online,5,12486.26,21.22,49183.38,51718.45,-2535.07,Loss-Making
ORD002638,2025-10-12 00:00:00,CUST02343,PROD0076,R007,Marketplace,6,7447.92,21.04,35285.27,37786.56,-2501.29,Loss-Making
ORD009535,2025-07-17 00:00:00,CUST05316,PROD0068,R001,Store,3,14057.37,24.36,31898.98,34323.42,-2424.44,Loss-Making
ORD047283,2025-07-21 00:00:00,CUST01873,PROD0047,R018,Online,6,7182.73,27.59,31206.09,33625.68,-2419.59,Loss-Making
ORD010179,2026-05-19 00:00:00,CUST03859,PROD0017,R011,Marketplace,3,9986.93,25.56,22302.81,24722.01,-2419.2,Loss-Making
ORD006848,2024-04-11 00:00:00,CUST05355,PROD0018,R013,Online,4,12486.26,21.97,38972.11,41374.76,-2402.65,Loss-Making
ORD022254,2024-03-15 00:00:00,CUST03187,PROD0148,R002,Online,5,8761.87,23.7,33426.53,35663.3,-2236.77,Loss-Making
ORD074981,2025-05-15 00:00:00,CUST04277,PROD0170,R011,Store,3,15086.92,25.51,33714.74,35918.52,-2203.78,Loss-Making
ORD032758,2025-09-17 00:00:00,CUST03756,PROD0085,R002,Marketplace,3,7374.91,28.09,15909.89,18109.59,-2199.7,Loss-Making
ORD070955,2026-03-15 00:00:00,CUST00704,PROD0017,R021,Online,3,9986.93,24.49,22623.39,24722.01,-2098.62,Loss-Making
ORD063954,2025-11-18 00:00:00,CUST03654,PROD0170,R024,Store,2,15086.92,27.43,21897.16,23945.68,-2048.52,Loss-Making
ORD005190,2024-11-29 00:00:00,CUST05461,PROD0148,R002,Store,6,8761.87,22.49,40747.95,42795.96,-2048.01,Loss-Making
ORD047771,2025-04-24 00:00:00,CUST01059,PROD0076,R013,Marketplace,2,7447.92,29.09,10562.64,12595.52,-2032.88,Loss-Making
ORD039829,2026-01-23 00:00:00,CUST04206,PROD0018,R007,Marketplace,2,12486.26,25.28,18659.47,20687.38,-2027.91,Loss-Making
ORD072129,2024-07-04 00:00:00,CUST01175,PROD0107,R006,Online,4,8149.76,21.74,25512.01,27528.72,-2016.71,Loss-Making
ORD017176,2024-04-04 00:00:00,CUST02007,PROD0107,R012,Online,6,8149.76,19.57,39329.11,41293.08,-1963.97,Loss-Making
ORD007589,2025-07-31 00:00:00,CUST03000,PROD0017,R025,Marketplace,4,9986.93,22.38,31007.42,32962.68,-1955.26,Loss-Making
ORD001501,2025-10-14 00:00:00,CUST01256,PROD0113,R011,Online,6,14425.18,21.78,67700.25,69605.82,-1905.57,Loss-Making
ORD067547,2024-10-13 00:00:00,CUST03693,PROD0017,R018,Online,4,9986.93,22.16,31095.31,32962.68,-1867.37,Loss-Making
ORD074840,2024-04-25 00:00:00,CUST04828,PROD0113,R022,Online,2,14425.18,25.92,21372.35,23201.94,-1829.59,Loss-Making
ORD027301,2024-02-01 00:00:00,CUST04094,PROD0170,R019,Online,4,15086.92,23.67,46063.38,47891.36,-1827.98,Loss-Making
ORD030608,2026-06-17 00:00:00,CUST04687,PROD0076,R001,Online,2,7447.92,27.48,10802.46,12595.52,-1793.06,Loss-Making
ORD071749,2024-05-14 00:00:00,CUST02363,PROD0148,R016,Online,5,8761.87,22.68,33873.39,35663.3,-1789.91,Loss-Making
ORD070841,2025-10-09 00:00:00,CUST01585,PROD0005,R005,Online,6,5395.83,21.88,25291.33,27066.0,-1774.67,Loss-Making
ORD024780,2025-12-06 00:00:00,CUST03056,PROD0038,R009,Online,3,5926.22,26.26,13109.98,14836.38,-1726.4,Loss-Making
ORD062823,2025-01-08 00:00:00,CUST05352,PROD0005,R013,Marketplace,4,5395.83,24.37,16323.46,18044.0,-1720.54,Loss-Making
ORD049445,2024-09-06 00:00:00,CUST05137,PROD0085,R025,Online,4,7374.91,23.92,22443.33,24146.12,-1702.79,Loss-Making
ORD010711,2025-10-15 00:00:00,CUST03197,PROD0170,R008,Store,3,15086.92,24.38,34226.19,35918.52,-1692.33,Loss-Making
ORD051713,2024-04-22 00:00:00,CUST01395,PROD0125,R009,Store,6,12200.98,19.51,58923.41,60608.7,-1685.29,Loss-Making
ORD068514,2024-12-28 00:00:00,CUST01493,PROD0005,R005,Marketplace,5,5395.83,22.62,20876.47,22555.0,-1678.53,Loss-Making
ORD064961,2024-10-27 00:00:00,CUST04735,PROD0038,R010,Online,6,5926.22,21.23,28008.5,29672.76,-1664.26,Loss-Making
ORD063912,2024-02-01 00:00:00,CUST00628,PROD0085,R024,Online,4,7374.91,23.76,22490.53,24146.12,-1655.59,Loss-Making
ORD059894,2024-10-04 00:00:00,CUST03987,PROD0085,R001,Online,5,7374.91,22.58,28548.28,30182.65,-1634.37,Loss-Making
ORD070367,2025-01-14 00:00:00,CUST02245,PROD0113,R023,Online,2,14425.18,25.09,21611.8,23201.94,-1590.14,Loss-Making
ORD055950,2026-03-09 00:00:00,CUST01302,PROD0059,R003,Store,6,4032.23,24.45,18278.1,19838.1,-1560.0,Loss-Making
ORD038119,2026-05-14 00:00:00,CUST02435,PROD0136,R014,Online,4,14567.99,21.29,45865.86,47416.04,-1550.18,Loss-Making
ORD050913,2025-08-05 00:00:00,CUST02287,PROD0017,R016,Marketplace,3,9986.93,22.65,23174.67,24722.01,-1547.34,Loss-Making
ORD022158,2025-02-03 00:00:00,CUST04272,PROD0085,R014,Online,6,7374.91,21.64,34673.88,36219.18,-1545.3,Loss-Making
ORD051663,2026-02-14 00:00:00,CUST05914,PROD0017,R024,Marketplace,3,9986.93,22.61,23186.66,24722.01,-1535.35,Loss-Making
ORD008563,2026-05-10 00:00:00,CUST00656,PROD0017,R021,Marketplace,5,9986.93,20.56,39668.09,41203.35,-1535.26,Loss-Making
ORD067281,2026-01-24 00:00:00,CUST00764,PROD0125,R023,Marketplace,4,12200.98,20.33,38882.08,40405.8,-1523.72,Loss-Making
ORD038095,2024-10-25 00:00:00,CUST02356,PROD0071,R013,Store,6,10420.29,22.87,48223.02,49742.94,-1519.92,Loss-Making
ORD010959,2026-02-25 00:00:00,CUST01814,PROD0005,R013,Online,5,5395.83,21.95,21057.23,22555.0,-1497.77,Loss-Making
ORD043236,2026-04-12 00:00:00,CUST03410,PROD0118,R009,Marketplace,6,11702.39,27.05,51221.36,52662.06,-1440.7,Loss-Making
ORD058043,2024-12-09 00:00:00,CUST04620,PROD0051,R001,Online,5,7244.8,25.86,26856.47,28272.3,-1415.83,Loss-Making
ORD038328,2024-09-14 00:00:00,CUST02480,PROD0050,R006,Marketplace,4,7609.14,22.65,23542.68,24920.76,-1378.08,Loss-Making
ORD054127,2026-04-03 00:00:00,CUST04750,PROD0038,R015,Store,4,5926.22,22.36,18404.47,19781.84,-1377.37,Loss-Making
ORD028750,2025-07-07 00:00:00,CUST02810,PROD0017,R007,Store,4,9986.93,20.93,31586.66,32962.68,-1376.02,Loss-Making
ORD053469,2025-03-13 00:00:00,CUST03218,PROD0125,R013,Marketplace,2,12200.98,22.78,18843.19,20202.9,-1359.71,Loss-Making
ORD015769,2026-06-25 00:00:00,CUST03103,PROD0072,R004,Online,4,6813.77,23.59,20825.61,22178.68,-1353.07,Loss-Making
ORD030766,2024-04-05 00:00:00,CUST00733,PROD0107,R016,Online,5,8149.76,18.87,33059.5,34410.9,-1351.4,Loss-Making
ORD043217,2026-01-28 00:00:00,CUST03380,PROD0136,R014,Online,2,14567.99,23.2,22376.43,23708.02,-1331.59,Loss-Making
ORD061736,2024-03-05 00:00:00,CUST04999,PROD0050,R003,Store,2,7609.14,26.72,11151.96,12460.38,-1308.42,Loss-Making
ORD026874,2024-08-10 00:00:00,CUST02965,PROD0148,R008,Online,6,8761.87,21.07,41494.46,42795.96,-1301.5,Loss-Making
ORD035476,2024-09-18 00:00:00,CUST05479,PROD0125,R025,Online,3,12200.98,20.76,29004.17,30304.35,-1300.18,Loss-Making
ORD046640,2025-04-07 00:00:00,CUST04700,PROD0018,R015,Online,2,12486.26,22.33,19396.16,20687.38,-1291.22,Loss-Making
ORD056239,2024-11-10 00:00:00,CUST04338,PROD0050,R020,Online,3,7609.14,23.76,17403.63,18690.57,-1286.94,Loss-Making
ORD016566,2025-06-01 00:00:00,CUST05184,PROD0033,R002,Store,4,8818.49,27.87,25443.11,26722.8,-1279.69,Loss-Making
ORD007381,2024-12-14 00:00:00,CUST00519,PROD0170,R012,Online,2,15086.92,24.79,22693.75,23945.68,-1251.93,Loss-Making
ORD048271,2024-06-05 00:00:00,CUST04683,PROD0056,R022,Store,4,4052.4,25.84,12021.04,13255.28,-1234.24,Loss-Making
ORD011878,2024-09-20 00:00:00,CUST00530,PROD0038,R013,Store,5,5926.22,20.69,23500.43,24727.3,-1226.87,Loss-Making
ORD011869,2025-08-21 00:00:00,CUST05566,PROD0027,R020,Online,5,10298.65,22.6,39855.78,41081.05,-1225.27,Loss-Making
ORD063765,2025-05-30 00:00:00,CUST02824,PROD0027,R002,Store,4,10298.65,23.11,31674.53,32864.84,-1190.31,Loss-Making
ORD030818,2024-12-16 00:00:00,CUST03158,PROD0148,R006,Store,5,8761.87,21.29,34482.34,35663.3,-1180.96,Loss-Making
ORD053144,2026-05-12 00:00:00,CUST05860,PROD0017,R010,Online,3,9986.93,21.42,23543.19,24722.01,-1178.82,Loss-Making
ORD057298,2026-04-03 00:00:00,CUST03059,PROD0050,R016,Marketplace,2,7609.14,25.85,11284.35,12460.38,-1176.03,Loss-Making
ORD050487,2024-06-22 00:00:00,CUST02771,PROD0107,R011,Online,3,8149.76,20.36,19471.41,20646.54,-1175.13,Loss-Making
ORD055906,2024-03-05 00:00:00,CUST03808,PROD0107,R016,Online,4,8149.76,19.15,26356.32,27528.72,-1172.4,Loss-Making
ORD026968,2025-07-28 00:00:00,CUST02288,PROD0146,R008,Online,6,2879.6,29.39,12199.71,13369.56,-1169.85,Loss-Making
ORD071873,2025-08-03 00:00:00,CUST03387,PROD0068,R010,Online,3,14057.37,21.35,33168.36,34323.42,-1155.06,Loss-Making
ORD051610,2025-09-25 00:00:00,CUST03976,PROD0085,R022,Online,5,7374.91,21.27,29031.33,30182.65,-1151.32,Loss-Making
ORD045650,2025-03-20 00:00:00,CUST02833,PROD0125,R015,Online,2,12200.98,21.89,19060.37,20202.9,-1142.53,Loss-Making
ORD017187,2024-10-27 00:00:00,CUST01812,PROD0113,R019,Store,3,14425.18,22.21,33664.04,34802.91,-1138.87,Loss-Making
ORD008525,2024-01-21 00:00:00,CUST00449,PROD0018,R008,Online,6,12486.26,18.67,60930.45,62062.14,-1131.69,Loss-Making
ORD046656,2024-09-28 00:00:00,CUST02606,PROD0068,R012,Store,4,14057.37,20.61,44640.58,45764.56,-1123.98,Loss-Making
ORD056832,2024-06-27 00:00:00,CUST03786,PROD0136,R009,Online,1,14567.99,26.34,10730.78,11854.01,-1123.23,Loss-Making
ORD062980,2026-06-17 00:00:00,CUST01135,PROD0170,R006,Store,6,15086.92,21.87,70724.46,71837.04,-1112.58,Loss-Making
ORD043640,2025-05-22 00:00:00,CUST03989,PROD0076,R016,Store,5,7447.92,18.42,30380.07,31488.8,-1108.73,Loss-Making
ORD022717,2025-07-30 00:00:00,CUST00912,PROD0064,R015,Online,3,14023.42,27.17,30639.77,31738.71,-1098.94,Loss-Making
ORD054184,2025-06-15 00:00:00,CUST03411,PROD0085,R007,Marketplace,3,7374.91,23.1,17013.92,18109.59,-1095.67,Loss-Making
ORD022328,2025-09-10 00:00:00,CUST00145,PROD0047,R017,Online,3,7182.73,26.91,15749.57,16812.84,-1063.27,Loss-Making
ORD031604,2026-05-04 00:00:00,CUST05327,PROD0107,R016,Online,2,8149.76,22.06,12703.85,13764.36,-1060.51,Loss-Making
ORD048301,2025-02-13 00:00:00,CUST00525,PROD0038,R003,Marketplace,4,5926.22,20.99,18729.23,19781.84,-1052.61,Loss-Making
ORD017916,2025-07-21 00:00:00,CUST01334,PROD0076,R005,Online,2,7447.92,22.44,11553.21,12595.52,-1042.31,Loss-Making
ORD005573,2024-06-27 00:00:00,CUST03447,PROD0050,R012,Online,3,7609.14,22.64,17659.29,18690.57,-1031.28,Loss-Making
ORD021085,2024-04-02 00:00:00,CUST05337,PROD0165,R007,Store,2,11488.02,25.24,17176.89,18192.56,-1015.67,Loss-Making
ORD010416,2024-11-30 00:00:00,CUST05927,PROD0076,R001,Marketplace,2,7447.92,22.21,11587.47,12595.52,-1008.05,Loss-Making
ORD002506,2025-11-11 00:00:00,CUST03455,PROD0076,R025,Online,4,7447.92,18.8,24190.84,25191.04,-1000.2,Loss-Making
ORD009639,2024-02-25 00:00:00,CUST02173,PROD0175,R006,Online,4,8066.73,26.14,23832.35,24820.12,-987.77,Loss-Making
ORD072164,2024-05-15 00:00:00,CUST05466,PROD0071,R011,Online,3,10420.29,23.59,23886.43,24871.47,-985.04,Loss-Making
ORD061482,2025-11-16 00:00:00,CUST00436,PROD0050,R024,Store,1,7609.14,31.06,5245.74,6230.19,-984.45,Loss-Making
ORD036111,2025-04-30 00:00:00,CUST03486,PROD0076,R025,Online,3,7447.92,19.84,17910.76,18893.28,-982.52,Loss-Making
ORD000041,2024-04-29 00:00:00,CUST04840,PROD0051,R001,Online,4,7244.8,25.34,21635.87,22617.84,-981.97,Loss-Making
ORD061567,2025-06-16 00:00:00,CUST00631,PROD0085,R025,Marketplace,3,7374.91,22.43,17162.15,18109.59,-947.44,Loss-Making
ORD003050,2024-01-04 00:00:00,CUST03133,PROD0038,R008,Online,3,5926.22,21.75,13911.8,14836.38,-924.58,Loss-Making
ORD033038,2025-02-08 00:00:00,CUST05158,PROD0038,R010,Marketplace,2,5926.22,24.28,8974.67,9890.92,-916.25,Loss-Making
ORD026259,2024-08-04 00:00:00,CUST03396,PROD0107,R007,Marketplace,3,8149.76,19.3,19730.57,20646.54,-915.97,Loss-Making
ORD060302,2024-06-28 00:00:00,CUST00097,PROD0018,R010,Online,4,12486.26,18.99,40460.48,41374.76,-914.28,Loss-Making
