Year,Month_Number,Month_Name,Units_Sold,Orders,Revenue,Cost,Profit,Profit_Margin_Percent,Average_Order_Value,Previous_Month_Revenue,MoM_Revenue_Growth_Percent,Previous_Month_Profit,MoM_Profit_Growth_Percent
2024,1.0,January,5980,2577,45928721.52,34838455.29,11090266.23,24.15,17822.55,,,,
2024,2.0,February,5459,2333,42757973.4,32221260.66,10536712.74,24.64,18327.46,45928721.52,-6.9,11090266.23,-4.99
2024,3.0,March,6185,2564,47293209.21,35837882.15,11455327.06,24.22,18445.09,42757973.4,10.61,10536712.74,8.72
2024,4.0,April,5808,2460,44229524.02,33815616.23,10413907.79,23.55,17979.48,47293209.21,-6.48,11455327.06,-9.09
2024,5.0,May,6038,2533,47834619.98,36080220.35,11754399.63,24.57,18884.57,44229524.02,8.15,10413907.79,12.87
2024,6.0,June,5845,2535,45395067.75,34272187.61,11122880.14,24.5,17907.32,47834619.98,-5.1,11754399.63,-5.37
2024,7.0,July,5915,2533,44538880.51,33871110.71,10667769.8,23.95,17583.45,45395067.75,-1.89,11122880.14,-4.09
2024,8.0,August,6196,2657,48460455.71,36476797.39,11983658.32,24.73,18238.79,44538880.51,8.8,10667769.8,12.34
2024,9.0,September,5530,2399,42664906.93,32111640.03,10553266.9,24.74,17784.45,48460455.71,-11.96,11983658.32,-11.94
2024,10.0,October,6176,2594,47151653.05,35680294.8,11471358.25,24.33,18177.2,42664906.93,10.52,10553266.9,8.7
2024,11.0,November,5923,2481,45848582.06,34482987.54,11365594.52,24.79,18479.88,47151653.05,-2.76,11471358.25,-0.92
2024,12.0,December,6195,2557,47163245.19,35632565.51,11530679.68,24.45,18444.76,45848582.06,2.87,11365594.52,1.45
2025,1.0,January,6086,2575,47196919.38,35418600.46,11778318.92,24.96,18328.9,47163245.19,0.07,11530679.68,2.15
2025,2.0,February,5593,2337,42175078.09,31908052.57,10267025.52,24.34,18046.67,47196919.38,-10.64,11778318.92,-12.83
2025,3.0,March,5998,2491,44920726.16,33913689.7,11007036.46,24.5,18033.21,42175078.09,6.51,10267025.52,7.21
2025,4.0,April,5593,2398,42678296.19,32245185.52,10433110.67,24.45,17797.45,44920726.16,-4.99,11007036.46,-5.21
2025,5.0,May,6101,2587,46038208.94,34664565.28,11373643.66,24.7,17795.98,42678296.19,7.87,10433110.67,9.01
2025,6.0,June,5666,2423,45201618.7,33928798.87,11272819.83,24.94,18655.23,46038208.94,-1.82,11373643.66,-0.89
2025,7.0,July,5861,2531,45913674.74,34670568.69,11243106.05,24.49,18140.53,45201618.7,1.58,11272819.83,-0.26
2025,8.0,August,6156,2606,46927485.11,35412659.05,11514826.06,24.54,18007.48,45913674.74,2.21,11243106.05,2.42
2025,9.0,September,5787,2457,43899251.14,33051821.04,10847430.1,24.71,17867.01,46927485.11,-6.45,11514826.06,-5.8
2025,10.0,October,5979,2526,45585179.36,34657497.32,10927682.04,23.97,18046.39,43899251.14,3.84,10847430.1,0.74
2025,11.0,November,5746,2419,43337990.48,32797667.86,10540322.62,24.32,17915.66,45585179.36,-4.93,10927682.04,-3.54
2025,12.0,December,6069,2566,47139270.74,35332224.89,11807045.85,25.05,18370.72,43337990.48,8.77,10540322.62,12.02
2026,1.0,January,6228,2610,46503689.37,34982981.45,11520707.92,24.77,17817.51,47139270.74,-1.35,11807045.85,-2.43
2026,2.0,February,5497,2313,43268831.63,32508976.2,10759855.43,24.87,18706.8,46503689.37,-6.96,11520707.92,-6.6
2026,3.0,March,5999,2484,45608262.08,34484231.8,11124030.28,24.39,18360.81,43268831.63,5.41,10759855.43,3.38
2026,4.0,April,5484,2323,41994344.4,31731929.03,10262415.37,24.44,18077.63,45608262.08,-7.92,11124030.28,-7.75
2026,5.0,May,6193,2575,48674859.39,36883438.19,11791421.2,24.22,18902.86,41994344.4,15.91,10262415.37,14.9
2026,6.0,June,5891,2476,45294511.51,34126376.03,11168135.48,24.66,18293.42,48674859.39,-6.94,11791421.2,-5.29
