Year,Month_Number,Month_Name,Revenue,Previous_Month_Revenue,MoM_Growth_Percent,Previous_Year_Revenue,YoY_Growth_Percent
2024,1.0,January,45928721.52,,,,
2024,2.0,February,42757973.4,45928721.52,-6.9,,
2024,3.0,March,47293209.21,42757973.4,10.61,,
2024,4.0,April,44229524.02,47293209.21,-6.48,,
2024,5.0,May,47834619.98,44229524.02,8.15,,
2024,6.0,June,45395067.75,47834619.98,-5.1,,
2024,7.0,July,44538880.51,45395067.75,-1.89,,
2024,8.0,August,48460455.71,44538880.51,8.8,,
2024,9.0,September,42664906.93,48460455.71,-11.96,,
2024,10.0,October,47151653.05,42664906.93,10.52,,
2024,11.0,November,45848582.06,47151653.05,-2.76,,
2024,12.0,December,47163245.19,45848582.06,2.87,,
2025,1.0,January,47196919.38,47163245.19,0.07,45928721.52,2.76
2025,2.0,February,42175078.09,47196919.38,-10.64,42757973.4,-1.36
2025,3.0,March,44920726.16,42175078.09,6.51,47293209.21,-5.02
2025,4.0,April,42678296.19,44920726.16,-4.99,44229524.02,-3.51
2025,5.0,May,46038208.94,42678296.19,7.87,47834619.98,-3.76
2025,6.0,June,45201618.7,46038208.94,-1.82,45395067.75,-0.43
2025,7.0,July,45913674.74,45201618.7,1.58,44538880.51,3.09
2025,8.0,August,46927485.11,45913674.74,2.21,48460455.71,-3.16
2025,9.0,September,43899251.14,46927485.11,-6.45,42664906.93,2.89
2025,10.0,October,45585179.36,43899251.14,3.84,47151653.05,-3.32
2025,11.0,November,43337990.48,45585179.36,-4.93,45848582.06,-5.48
2025,12.0,December,47139270.74,43337990.48,8.77,47163245.19,-0.05
2026,1.0,January,46503689.37,47139270.74,-1.35,47196919.38,-1.47
2026,2.0,February,43268831.63,46503689.37,-6.96,42175078.09,2.59
2026,3.0,March,45608262.08,43268831.63,5.41,44920726.16,1.53
2026,4.0,April,41994344.4,45608262.08,-7.92,42678296.19,-1.6
2026,5.0,May,48674859.39,41994344.4,15.91,46038208.94,5.73
2026,6.0,June,45294511.51,48674859.39,-6.94,45201618.7,0.21
