Region_ID,Region,Category,Orders,Customers,Units_Sold,Revenue,Cost,Profit,Profit_Margin_Percent,Average_Order_Value,Category_Revenue_Rank_In_Region,Region_Revenue_Rank_In_Category
R025,Central,Electronics,594,217,1354,12801955.11,9639019.76,3162935.35,24.71,21552.11,1,17
R025,Central,Beauty,624,229,1444,11453191.03,8458356.17,2994834.86,26.15,18354.47,2,5
R024,Central,Electronics,536,213,1263,11050042.75,8294220.38,2755822.37,24.94,20615.75,1,25
R025,Central,Sports,658,226,1488,10545638.23,8049524.41,2496113.82,23.67,16026.81,3,13
R024,Central,Home,633,223,1510,10502814.61,8137681.13,2365133.48,22.52,16592.12,2,10
R024,Central,Beauty,591,220,1376,10428476.03,7800961.78,2627514.25,25.2,17645.48,3,18
R025,Central,Home,602,226,1453,10131749.1,7848547.73,2283201.37,22.54,16830.15,4,14
R024,Central,Fashion,585,221,1405,10079826.76,7448862.42,2630964.34,26.1,17230.47,4,8
R024,Central,Sports,587,223,1334,9617018.6,7336862.48,2280156.12,23.71,16383.34,5,22
R025,Central,Fashion,598,224,1370,9500065.72,7054235.68,2445830.04,25.75,15886.4,5,17
R013,East,Electronics,656,229,1597,14611951.78,11001399.81,3610551.97,24.71,22274.32,1,3
R012,East,Electronics,660,233,1599,14519000.53,10995281.43,3523719.1,24.27,21998.49,1,4
R014,East,Electronics,513,194,1250,12086520.81,9064135.59,3022385.22,25.01,23560.47,1,21
R012,East,Sports,638,229,1553,11976117.76,9038908.91,2937208.85,24.53,18771.34,2,3
R013,East,Sports,611,223,1464,11250182.46,8603471.87,2646710.59,23.53,18412.74,2,7
R012,East,Beauty,605,226,1411,11243155.02,8416112.53,2827042.49,25.14,18583.73,3,9
R013,East,Home,655,228,1533,10948674.55,8528132.24,2420542.31,22.11,16715.53,3,4
R012,East,Home,641,233,1538,10842651.84,8434321.54,2408330.3,22.21,16915.21,4,5
R013,East,Fashion,637,230,1465,10447549.09,7762818.91,2684730.18,25.7,16401.18,4,5
R012,East,Fashion,632,232,1456,10435850.52,7737803.51,2698047.01,25.85,16512.42,5,6
R013,East,Beauty,590,220,1407,10174172.24,7625580.15,2548592.09,25.05,17244.36,5,20
R014,East,Beauty,574,196,1344,9641310.34,7189673.04,2451637.3,25.43,16796.71,2,23
R014,East,Sports,509,193,1253,9449034.43,7157763.24,2291271.19,24.25,18563.92,3,25
R014,East,Home,526,191,1229,8425132.68,6526943.97,1898188.71,22.53,16017.36,4,25
R014,East,Fashion,517,190,1160,7842862.59,5818290.23,2024572.36,25.81,15169.95,5,25
R010,North,Electronics,669,246,1543,14108227.87,10611434.13,3496793.74,24.79,21088.53,1,6
R005,North,Electronics,585,218,1419,13719746.04,10252929.41,3466816.63,25.27,23452.56,1,8
R006,North,Electronics,584,211,1421,13447488.33,10132688.47,3314799.86,24.65,23026.52,1,10
R007,North,Electronics,631,232,1443,13176778.36,9998248.17,3178530.19,24.12,20882.37,1,12
R010,North,Sports,721,257,1657,12802892.47,9784223.28,3018669.19,23.58,17757.13,2,1
R009,North,Electronics,571,222,1334,12439557.23,9229161.95,3210395.28,25.81,21785.56,1,20
R010,North,Beauty,686,246,1624,12281527.96,9203309.39,3078218.57,25.06,17903.1,3,2
R009,North,Beauty,647,228,1552,12086646.04,9013071.81,3073574.23,25.43,18681.06,2,3
R010,North,Fashion,685,250,1683,11669836.39,8644233.84,3025602.55,25.93,17036.26,4,1
R011,North,Electronics,531,210,1256,11468181.97,8579007.1,2889174.87,25.19,21597.33,1,23
R007,North,Sports,604,228,1468,11402921.79,8681946.1,2720975.69,23.86,18879.01,2,5
R005,North,Sports,624,224,1504,11387180.02,8745737.98,2641442.04,23.2,18248.69,2,6
R011,North,Beauty,603,215,1410,11266021.23,8463640.62,2802380.61,24.87,18683.29,2,7
R010,North,Home,662,248,1541,11156384.08,8693942.62,2462441.46,22.07,16852.54,5,1
R008,North,Electronics,546,193,1238,11129844.73,8452280.12,2677564.61,24.06,20384.33,1,24
R009,North,Home,617,222,1500,11047796.58,8637321.92,2410474.66,21.82,17905.67,3,2
R007,North,Home,638,228,1553,10954776.48,8553878.26,2400898.22,21.92,17170.5,3,3
R007,North,Fashion,643,230,1577,10764560.44,8066576.48,2697983.96,25.06,16741.15,4,3
R005,North,Beauty,588,221,1377,10739383.22,8058294.32,2681088.9,24.97,18264.26,3,13
R011,North,Sports,578,208,1392,10574143.56,8032202.52,2541941.04,24.04,18294.37,3,12
R005,North,Home,627,217,1446,10525903.86,8175817.41,2350086.45,22.33,16787.73,4,9
R007,North,Beauty,576,232,1372,10363564.82,7729420.0,2634144.82,25.42,17992.3,5,19
R009,North,Fashion,613,226,1455,10251929.83,7458578.14,2793351.69,27.25,16724.19,4,7
R006,North,Sports,555,202,1348,10032765.97,7630431.03,2402334.94,23.94,18077.06,2,18
R009,North,Sports,607,222,1424,9919705.1,7561555.51,2358149.59,23.77,16342.18,5,19
R006,North,Beauty,561,201,1298,9864568.51,7341768.81,2522799.7,25.57,17583.9,3,21
R006,North,Fashion,574,203,1377,9821956.79,7329184.58,2492772.21,25.38,17111.42,4,14
