Region_ID,Region,Revenue,Target_Revenue,Revenue_Variance,Revenue_Achievement_Percent,Profit,Target_Profit,Profit_Variance,Profit_Achievement_Percent,Profit_Margin_Percent,Units_Sold,Orders,Customers,Revenue_Rank,Profit_Rank,Margin_Rank,Target_Achievement_Rank
R010,North,62018868.77,30804180.53,31214688.24,201.33,15081725.51,5416167.02,9665558.49,278.46,24.32,8048,3423,270,1,1,21,15
R016,South,60793443.84,34056754.17,26736689.67,178.51,15054323.08,6572261.13,8482061.95,229.06,24.76,8002,3351,270,2,2,3,19
R012,East,59016775.67,23356418.85,35660356.82,252.68,14394347.75,4841427.56,9552920.19,297.32,24.39,7557,3176,252,3,3,16,9
R013,East,57432530.12,16239628.84,41192901.28,353.66,13911127.14,2827328.76,11083798.38,492.02,24.22,7466,3149,250,4,6,23,5
R001,West,57291084.41,32591078.26,24700006.15,175.79,13873429.45,5247537.51,8625891.94,264.38,24.22,7533,3120,251,5,7,23,20
R019,South,56816977.3,35509292.58,21307684.72,160.01,13994283.62,6560215.13,7434068.49,213.32,24.63,7284,3065,245,6,4,8,22
R018,South,56736100.91,23645869.99,33090230.92,239.94,13922039.93,4431002.5,9491037.43,314.2,24.54,7314,3106,249,7,5,12,11
R007,North,56662601.89,29719788.18,26942813.71,190.66,13632532.88,5354397.22,8278135.66,254.6,24.06,7413,3092,254,8,9,25,18
R005,North,55801455.08,48622241.11,7179213.97,114.77,13592293.37,9198426.01,4393867.36,147.77,24.36,7157,3021,241,9,10,17,25
R009,North,55745634.78,36582790.15,19162844.63,152.38,13845945.45,6438714.39,7407231.06,215.04,24.84,7265,3055,246,10,8,2,23
R023,South,55028194.09,8522390.56,46505803.53,645.69,13502673.09,1567346.34,11935326.75,861.5,24.54,7176,3061,244,11,11,12,2
R025,Central,54432599.19,22011158.52,32421440.67,247.3,13382915.44,4290588.94,9092326.5,311.91,24.59,7109,3076,247,12,12,9,10
R017,South,53353217.01,26678450.97,26674766.04,199.99,12985975.51,4863218.66,8122756.85,267.02,24.34,7115,3023,246,13,17,18,16
R003,West,53307380.49,12508100.89,40799279.6,426.18,13173935.87,2374827.25,10799108.62,554.73,24.71,6984,2940,231,14,13,5,3
R015,South,53043517.74,19627791.7,33415726.04,270.25,13036433.45,3929399.52,9107033.93,331.77,24.58,6794,2871,232,15,16,10,8
R020,South,52908898.93,7591889.11,45317009.82,696.91,13037669.74,1513541.0,11524128.74,861.4,24.64,6831,2886,229,16,15,6,1
R022,South,52692788.45,43394484.51,9298303.94,121.43,13044708.33,8531558.96,4513149.37,152.9,24.76,6839,2926,240,17,14,3,24
R021,South,52461439.25,26844615.24,25616824.01,195.43,12877007.89,4573236.61,8303771.28,281.57,24.55,6767,2866,227,18,19,11,17
R002,West,52409297.51,23087483.14,29321814.37,227.0,12827894.61,4571161.63,8256732.98,280.63,24.48,6827,2913,232,19,20,15,13
R006,North,52337762.36,14305303.74,38032458.62,365.86,12711869.27,2712651.35,9999217.92,468.61,24.29,6764,2830,224,20,21,22,4
R011,North,52151407.41,30909763.69,21241643.72,168.72,12687508.55,5336433.4,7351075.15,237.75,24.33,6808,2880,230,21,22,20,21
R004,West,51950987.34,22139275.31,29811712.03,234.66,12957278.96,4467581.53,8489697.43,290.03,24.94,6793,2900,235,22,18,1,12
R024,Central,51678178.75,16795287.92,34882890.83,307.69,12659590.56,3102091.73,9557498.83,408.1,24.5,6888,2932,240,23,23,14,6
R008,North,48109034.6,17127667.43,30981367.17,280.88,11709190.29,3115014.33,8594175.96,375.9,24.34,6207,2619,206,24,24,18,7
R014,East,47444860.85,23345613.0,24099247.85,203.23,11688054.78,4492100.04,7195954.74,260.19,24.64,6236,2639,209,25,25,6,14
