Region_ID,Region,Actual_Revenue,Target_Revenue,Actual_Profit,Target_Profit,Revenue_Variance,Revenue_Achievement_Percent,Profit_Variance,Profit_Achievement_Percent
R020,South,52908898.93,7591889.11,13037669.74,1513541.0,45317009.82,696.91,11524128.74,861.4
R023,South,55028194.09,8522390.56,13502673.09,1567346.34,46505803.53,645.69,11935326.75,861.5
R003,West,53307380.49,12508100.89,13173935.87,2374827.25,40799279.6,426.18,10799108.62,554.73
R006,North,52337762.36,14305303.74,12711869.27,2712651.35,38032458.62,365.86,9999217.92,468.61
R013,East,57432530.12,16239628.84,13911127.14,2827328.76,41192901.28,353.66,11083798.38,492.02
R024,Central,51678178.75,16795287.92,12659590.56,3102091.73,34882890.83,307.69,9557498.83,408.1
R008,North,48109034.6,17127667.43,11709190.29,3115014.33,30981367.17,280.88,8594175.96,375.9
R015,South,53043517.74,19627791.7,13036433.45,3929399.52,33415726.04,270.25,9107033.93,331.77
R012,East,59016775.67,23356418.85,14394347.75,4841427.56,35660356.82,252.68,9552920.19,297.32
R025,Central,54432599.19,22011158.52,13382915.44,4290588.94,32421440.67,247.3,9092326.5,311.91
R018,South,56736100.91,23645869.99,13922039.93,4431002.5,33090230.92,239.94,9491037.43,314.2
R004,West,51950987.34,22139275.31,12957278.96,4467581.53,29811712.03,234.66,8489697.43,290.03
R002,West,52409297.51,23087483.14,12827894.61,4571161.63,29321814.37,227.0,8256732.98,280.63
R014,East,47444860.85,23345613.0,11688054.78,4492100.04,24099247.85,203.23,7195954.74,260.19
R010,North,62018868.77,30804180.53,15081725.51,5416167.02,31214688.24,201.33,9665558.49,278.46
R017,South,53353217.01,26678450.97,12985975.51,4863218.66,26674766.04,199.99,8122756.85,267.02
R021,South,52461439.25,26844615.24,12877007.89,4573236.61,25616824.01,195.43,8303771.28,281.57
R007,North,56662601.89,29719788.18,13632532.88,5354397.22,26942813.71,190.66,8278135.66,254.6
R016,South,60793443.84,34056754.17,15054323.08,6572261.13,26736689.67,178.51,8482061.95,229.06
R001,West,57291084.41,32591078.26,13873429.45,5247537.51,24700006.15,175.79,8625891.94,264.38
R011,North,52151407.41,30909763.69,12687508.55,5336433.4,21241643.72,168.72,7351075.15,237.75
R019,South,56816977.3,35509292.58,13994283.62,6560215.13,21307684.72,160.01,7434068.49,213.32
R009,North,55745634.78,36582790.15,13845945.45,6438714.39,19162844.63,152.38,7407231.06,215.04
R022,South,52692788.45,43394484.51,13044708.33,8531558.96,9298303.94,121.43,4513149.37,152.9
R005,North,55801455.08,48622241.11,13592293.37,9198426.01,7179213.97,114.77,4393867.36,147.77
