Product_ID,Product_Name,Category,Units_Sold,Revenue,Profit,Returned_Units,Refund_Amount,Valid_Return_Records,Return_Rate_Percent,Refund_to_Revenue_Percent,Profit_Margin_Percent,Return_Risk
PROD0179,Sports Fitness 179,Sports,923,12656109.98,2153265.29,43,646353.21,41,4.66,5.11,17.01,High Return Risk
PROD0040,Home Appliances 040,Home,900,5826478.67,1837921.67,38,270776.22,30,4.22,4.65,31.54,High Return Risk
PROD0103,Fashion Accessories 103,Fashion,974,6503367.61,1235576.27,41,300963.37,36,4.21,4.63,19.0,High Return Risk
PROD0001,Electronics Audio 001,Electronics,845,9204443.68,2280555.93,35,420045.5,31,4.14,4.56,24.78,High Return Risk
PROD0154,Sports Outdoor 154,Sports,914,1965687.51,438640.29,36,85266.36,31,3.94,4.34,22.31,Moderate Return Risk
PROD0032,Electronics Accessories 032,Electronics,947,14251350.97,4299792.0,37,613354.55,33,3.91,4.3,30.17,Moderate Return Risk
PROD0069,Home Decor 069,Home,934,4634600.34,1440198.92,36,197363.52,33,3.85,4.26,31.07,Moderate Return Risk
PROD0120,Beauty Haircare 120,Beauty,947,5609052.01,1506202.92,36,235030.32,32,3.8,4.19,26.85,Moderate Return Risk
PROD0099,Fashion Accessories 099,Fashion,1010,4754718.52,1522668.02,38,197782.4,34,3.76,4.16,32.02,Moderate Return Risk
PROD0087,Fashion Men 087,Fashion,799,2469641.31,819842.14,30,101891.4,28,3.75,4.13,33.2,Moderate Return Risk
PROD0070,Home Kitchen 070,Home,942,11807173.49,3822574.25,35,481962.6,29,3.72,4.08,32.38,Moderate Return Risk
PROD0105,Fashion Footwear 105,Fashion,841,8052054.14,2552031.88,31,328515.99,29,3.69,4.08,31.69,Moderate Return Risk
PROD0172,Sports Sportswear 172,Sports,991,12276115.74,3847799.48,36,490033.8,31,3.63,3.99,31.34,Moderate Return Risk
PROD0039,Home Kitchen 039,Home,970,673892.31,112446.61,35,26598.25,33,3.61,3.95,16.69,Moderate Return Risk
PROD0088,Fashion Accessories 088,Fashion,890,12659830.57,4676922.17,32,495023.04,28,3.6,3.91,36.94,Moderate Return Risk
PROD0180,Sports Fitness 180,Sports,919,1662219.04,342185.82,33,65681.88,28,3.59,3.95,20.59,Moderate Return Risk
PROD0019,Electronics Laptops 019,Electronics,1090,9589544.58,3277060.28,39,377693.94,32,3.58,3.94,34.17,Moderate Return Risk
PROD0041,Home Kitchen 041,Home,959,1936861.17,701630.81,34,75469.8,29,3.55,3.9,36.23,Moderate Return Risk
PROD0173,Sports Outdoor 173,Sports,1112,1738006.53,235761.25,39,67368.6,34,3.51,3.88,13.57,Moderate Return Risk
PROD0143,Beauty Fragrance 143,Beauty,957,4185174.5,1243959.41,33,158735.61,29,3.45,3.79,29.72,Moderate Return Risk
PROD0036,Electronics Laptops 036,Electronics,1018,14510322.18,3814990.22,35,545774.6,31,3.44,3.76,26.29,Moderate Return Risk
PROD0124,Beauty Skincare 124,Beauty,1046,9652473.37,2453744.47,36,365146.2,33,3.44,3.78,25.42,Moderate Return Risk
PROD0064,Home Appliances 064,Home,1055,13433507.92,2272061.57,36,504843.12,31,3.41,3.76,16.91,Moderate Return Risk
PROD0153,Sports Outdoor 153,Sports,968,7251069.07,2001982.59,33,271750.71,30,3.41,3.75,27.61,Moderate Return Risk
PROD0062,Home Kitchen 062,Home,951,3603134.36,1224749.93,32,133748.16,25,3.36,3.71,33.99,Moderate Return Risk
PROD0018,Electronics Smartphones 018,Electronics,984,11131302.22,953111.26,33,412046.58,28,3.35,3.7,8.56,Moderate Return Risk
PROD0077,Fashion Women 077,Fashion,943,877578.62,306658.13,31,31665.57,26,3.29,3.61,34.94,Moderate Return Risk
PROD0117,Beauty Haircare 117,Beauty,951,2366584.87,399260.68,31,84933.8,30,3.26,3.59,16.87,Moderate Return Risk
PROD0098,Fashion Footwear 098,Fashion,986,13897143.59,4793208.39,32,496395.2,27,3.25,3.57,34.49,Moderate Return Risk
PROD0061,Home Appliances 061,Home,988,6825171.82,1526122.74,32,242199.68,30,3.24,3.55,22.36,Moderate Return Risk
PROD0084,Fashion Men 084,Fashion,898,6815115.41,1624684.39,29,241485.32,28,3.23,3.54,23.84,Moderate Return Risk
PROD0067,Home Appliances 067,Home,931,3565449.09,1193819.69,30,126866.1,28,3.22,3.56,33.48,Moderate Return Risk
PROD0166,Sports Equipment 166,Sports,901,5219485.86,957737.84,29,183768.36,25,3.22,3.52,18.35,Moderate Return Risk
PROD0065,Home Kitchen 065,Home,1001,3966807.35,559503.45,32,139715.84,29,3.2,3.52,14.1,Moderate Return Risk
PROD0155,Sports Equipment 155,Sports,907,2303059.83,529321.56,29,81108.07,24,3.2,3.52,22.98,Moderate Return Risk
PROD0037,Home Kitchen 037,Home,1005,8856296.8,3077486.5,32,311393.6,28,3.18,3.52,34.75,Moderate Return Risk
PROD0054,Home Appliances 054,Home,1007,16407111.84,4701925.1,32,574071.04,27,3.18,3.5,28.66,Moderate Return Risk
PROD0144,Beauty Haircare 144,Beauty,1039,2133827.17,704713.84,33,74496.51,30,3.18,3.49,33.03,Moderate Return Risk
PROD0123,Beauty Skincare 123,Beauty,1012,9409392.85,3044459.33,32,328821.76,30,3.16,3.49,32.36,Moderate Return Risk
PROD0082,Fashion Accessories 082,Fashion,951,1906108.11,138474.9,30,66381.6,28,3.15,3.48,7.26,Moderate Return Risk
PROD0101,Fashion Women 101,Fashion,1065,11753721.66,3580954.26,33,398365.77,27,3.1,3.39,30.47,Moderate Return Risk
PROD0086,Fashion Footwear 086,Fashion,908,3641923.39,513745.35,28,123144.56,25,3.08,3.38,14.11,Moderate Return Risk
PROD0178,Sports Outdoor 178,Sports,1108,4652964.02,1347644.9,34,157178.94,30,3.07,3.38,28.96,Moderate Return Risk
PROD0106,Fashion Footwear 106,Fashion,1046,4051006.5,1241785.22,32,136932.16,28,3.06,3.38,30.65,Moderate Return Risk
