Month_Number,Month_Name,Orders,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Revenue_Performance
1.0,January,7762,18294,139629330.27,34389293.07,24.63,Above Average
2.0,February,6983,16549,128201883.12,31563593.69,24.62,Above Average
3.0,March,7539,18182,137822197.45,33586393.8,24.37,Above Average
4.0,April,7181,16885,128902164.61,31109433.83,24.13,Above Average
5.0,May,7695,18332,142547688.31,34919464.49,24.5,Above Average
6.0,June,7434,17402,135891197.96,33563835.45,24.7,Above Average
7.0,July,5064,11776,90452555.25,21910875.85,24.22,Below Average
8.0,August,5263,12352,95387940.82,23498484.38,24.63,Below Average
9.0,September,4856,11317,86564158.07,21400697.0,24.72,Below Average
10.0,October,5120,12155,92736832.41,22399040.29,24.15,Below Average
11.0,November,4900,11669,89186572.54,21905917.14,24.56,Below Average
12.0,December,5123,12264,94302515.93,23337725.53,24.75,Below Average
