Region_ID,Region,Year,Month_Number,Actual_Revenue,Target_Revenue,Revenue_Variance,Revenue_Achievement_Percent,Actual_Profit,Target_Profit,Profit_Variance,Profit_Achievement_Percent,Actual_Units,Actual_Orders
R001,West,2024,1.0,2208071.37,,,,534846.69,,,,282,126
R002,West,2024,1.0,1652573.06,,,,437169.08,,,,211,97
R003,West,2024,1.0,1577638.32,1955192.1,-377553.78,80.69,393086.95,380654.99,12431.96,103.27,198,89
R004,West,2024,1.0,1763150.64,,,,434552.48,,,,217,92
R005,North,2024,1.0,1723186.32,,,,424375.19,,,,209,93
R006,North,2024,1.0,1421753.07,,,,352220.21,,,,202,88
R007,North,2024,1.0,1824703.73,1802366.22,22337.51,101.24,385923.99,418635.26,-32711.27,92.19,262,108
R008,North,2024,1.0,1695969.12,,,,396904.09,,,,207,96
R009,North,2024,1.0,1644011.46,,,,393404.42,,,,221,96
R010,North,2024,1.0,2130133.63,1785340.29,344793.34,119.31,532069.26,354742.4,177326.86,149.99,289,125
R011,North,2024,1.0,1847535.81,,,,413977.5,,,,255,109
R012,East,2024,1.0,2042484.05,1780282.59,262201.46,114.73,485388.17,282662.05,202726.12,171.72,264,106
R013,East,2024,1.0,2280209.92,,,,572865.48,,,,299,125
R014,East,2024,1.0,1747358.34,,,,418823.63,,,,211,90
R015,South,2024,1.0,1464659.25,,,,306480.03,,,,200,88
R016,South,2024,1.0,1911547.53,2676275.8,-764728.27,71.43,474084.88,409508.44,64576.44,115.77,237,114
R017,South,2024,1.0,1540264.54,2545431.15,-1005166.61,60.51,406645.68,476768.89,-70123.21,85.29,210,89
R018,South,2024,1.0,1841519.65,2532569.43,-691049.78,72.71,464435.9,470345.76,-5909.86,98.74,243,107
R019,South,2024,1.0,2278107.59,,,,497715.31,,,,287,122
R020,South,2024,1.0,1830777.69,,,,439670.23,,,,242,98
R021,South,2024,1.0,1582108.06,1923368.97,-341260.91,82.26,365687.91,351316.51,14371.4,104.09,209,93
R022,South,2024,1.0,2000156.05,2251033.37,-250877.32,88.86,486184.73,416940.85,69243.88,116.61,247,111
R023,South,2024,1.0,1639148.24,2364914.82,-725766.58,69.31,416367.52,352878.31,63489.21,117.99,224,94
R024,Central,2024,1.0,2006473.18,,,,494934.7,,,,271,107
R025,Central,2024,1.0,2275180.9,,,,562452.2,,,,283,114
R001,West,2024,2.0,1568153.1,,,,373133.35,,,,219,96
R002,West,2024,2.0,1724986.15,,,,458258.82,,,,227,106
R003,West,2024,2.0,1326191.01,,,,310019.14,,,,174,82
R004,West,2024,2.0,1956072.11,1854491.61,101580.5,105.48,513031.27,460622.45,52408.82,111.38,254,105
R005,North,2024,2.0,2030035.15,1643741.49,386293.66,123.5,468202.35,263485.76,204716.59,177.7,265,102
R006,North,2024,2.0,1596194.3,,,,367578.24,,,,206,86
R007,North,2024,2.0,1481812.15,,,,352163.9,,,,185,73
R008,North,2024,2.0,1497761.97,,,,313232.7,,,,205,94
R009,North,2024,2.0,2103770.19,2348010.61,-244240.42,89.6,493629.41,397129.05,96500.36,124.3,245,103
R010,North,2024,2.0,2004406.06,,,,531104.0,,,,260,118
R011,North,2024,2.0,1611018.34,1542081.44,68936.9,104.47,391203.03,321775.67,69427.36,121.58,201,81
R012,East,2024,2.0,2201290.69,,,,542511.37,,,,280,108
R013,East,2024,2.0,2289406.96,,,,611554.29,,,,273,114
R014,East,2024,2.0,1490826.37,,,,384273.41,,,,200,90
R015,South,2024,2.0,1424001.26,1883865.97,-459864.71,75.59,351497.57,382630.95,-31133.38,91.86,180,75
R016,South,2024,2.0,2148115.1,2448155.41,-300040.31,87.74,527860.35,448110.91,79749.44,117.8,258,106
R017,South,2024,2.0,1738927.26,2275671.74,-536744.48,76.41,375547.0,330677.16,44869.84,113.57,236,90
R018,South,2024,2.0,1481015.71,2020740.67,-539724.96,73.29,390525.24,293622.67,96902.57,133.0,182,86
R019,South,2024,2.0,1538081.0,2013935.19,-475854.19,76.37,358781.34,332591.91,26189.43,107.87,194,87
R020,South,2024,2.0,1355265.1,,,,345792.91,,,,174,73
R021,South,2024,2.0,1434000.58,,,,386299.81,,,,189,83
R022,South,2024,2.0,1575645.7,,,,383596.67,,,,215,95
R023,South,2024,2.0,2026677.8,,,,526037.0,,,,242,99
R024,Central,2024,2.0,1506540.31,,,,371913.14,,,,171,81
R025,Central,2024,2.0,1647779.03,2498514.79,-850735.76,65.95,408966.43,328922.73,80043.7,124.34,224,100
R001,West,2024,3.0,1959458.1,,,,475366.53,,,,262,101
R002,West,2024,3.0,1903228.3,,,,465594.63,,,,241,95
R003,West,2024,3.0,2162389.42,,,,532014.25,,,,303,108
R004,West,2024,3.0,1677335.92,2657724.02,-980388.1,63.11,412408.05,289500.1,122907.95,142.46,214,91
R005,North,2024,3.0,2002116.33,1486334.78,515781.55,134.7,498799.14,425108.4,73690.74,117.33,263,107
R006,North,2024,3.0,2126527.06,,,,531503.83,,,,277,110
R007,North,2024,3.0,2516291.06,1808487.57,707803.49,139.14,584498.46,372276.51,212221.95,157.01,312,122
R008,North,2024,3.0,1485563.79,,,,353635.65,,,,202,84
R009,North,2024,3.0,2259320.16,,,,552238.02,,,,292,125
R010,North,2024,3.0,2347599.9,,,,547230.95,,,,315,131
R011,North,2024,3.0,1494367.2,1386625.72,107741.48,107.77,372280.46,405855.01,-33574.55,91.73,217,92
