Year,Month,Month_Name,Revenue,Cost,Profit,Units_Sold,Orders,Profit_Margin_Percent,Average_Order_Value
2024,1,January,45928721.52,34838455.29,11090266.23,5980,2577,24.15,17822.55
2024,2,February,42757973.4,32221260.66,10536712.74,5459,2333,24.64,18327.46
2024,3,March,47293209.21,35837882.15,11455327.06,6185,2564,24.22,18445.09
2024,4,April,44229524.02,33815616.23,10413907.79,5808,2460,23.55,17979.48
2024,5,May,47834619.98,36080220.35,11754399.63,6038,2533,24.57,18884.57
2024,6,June,45395067.75,34272187.61,11122880.14,5845,2535,24.5,17907.32
2024,7,July,44538880.51,33871110.71,10667769.8,5915,2533,23.95,17583.45
2024,8,August,48460455.71,36476797.39,11983658.32,6196,2657,24.73,18238.79
2024,9,September,42664906.93,32111640.03,10553266.9,5530,2399,24.74,17784.45
2024,10,October,47151653.05,35680294.8,11471358.25,6176,2594,24.33,18177.2
2024,11,November,45848582.06,34482987.54,11365594.52,5923,2481,24.79,18479.88
2024,12,December,47163245.19,35632565.51,11530679.68,6195,2557,24.45,18444.76
2025,1,January,47196919.38,35418600.46,11778318.92,6086,2575,24.96,18328.9
2025,2,February,42175078.09,31908052.57,10267025.52,5593,2337,24.34,18046.67
2025,3,March,44920726.16,33913689.7,11007036.46,5998,2491,24.5,18033.21
2025,4,April,42678296.19,32245185.52,10433110.67,5593,2398,24.45,17797.45
2025,5,May,46038208.94,34664565.28,11373643.66,6101,2587,24.7,17795.98
2025,6,June,45201618.7,33928798.87,11272819.83,5666,2423,24.94,18655.23
2025,7,July,45913674.74,34670568.69,11243106.05,5861,2531,24.49,18140.53
2025,8,August,46927485.11,35412659.05,11514826.06,6156,2606,24.54,18007.48
2025,9,September,43899251.14,33051821.04,10847430.1,5787,2457,24.71,17867.01
2025,10,October,45585179.36,34657497.32,10927682.04,5979,2526,23.97,18046.39
2025,11,November,43337990.48,32797667.86,10540322.62,5746,2419,24.32,17915.66
2025,12,December,47139270.74,35332224.89,11807045.85,6069,2566,25.05,18370.72
2026,1,January,46503689.37,34982981.45,11520707.92,6228,2610,24.77,17817.51
2026,2,February,43268831.63,32508976.2,10759855.43,5497,2313,24.87,18706.8
2026,3,March,45608262.08,34484231.8,11124030.28,5999,2484,24.39,18360.81
2026,4,April,41994344.4,31731929.03,10262415.37,5484,2323,24.44,18077.63
2026,5,May,48674859.39,36883438.19,11791421.2,6193,2575,24.22,18902.86
2026,6,June,45294511.51,34126376.03,11168135.48,5891,2476,24.66,18293.42
