Product_ID,Product_Name,Category,Units_Sold,Revenue,Profit,Profit_Margin_Percent,Orders
PROD0112,Beauty Fragrance 112,Beauty,1081,18542050.87,6856343.58,36.98,450
PROD0042,Home Decor 042,Home,981,17183296.19,5953161.35,34.65,413
PROD0028,Electronics Audio 028,Electronics,940,17153275.64,6028479.04,35.14,396
PROD0043,Home Appliances 043,Home,1030,16928062.1,5368732.6,31.71,435
PROD0054,Home Appliances 054,Home,1007,16407111.84,4701925.1,28.66,418
PROD0015,Electronics Accessories 015,Electronics,990,16277749.88,4558486.28,28.0,428
PROD0021,Electronics Laptops 021,Electronics,963,16141749.44,5571611.06,34.52,403
PROD0140,Beauty Haircare 140,Beauty,1054,15407580.42,5337643.34,34.64,441
PROD0089,Fashion Women 089,Fashion,925,15402986.3,4518872.05,29.34,410
PROD0164,Sports Equipment 164,Sports,1063,14899523.0,3809244.0,25.57,441
PROD0121,Beauty Fragrance 121,Beauty,1027,14663693.49,3773231.44,25.73,415
PROD0158,Sports Fitness 158,Sports,1001,14620445.39,3525201.23,24.11,422
PROD0036,Electronics Laptops 036,Electronics,1018,14510322.18,3814990.22,26.29,429
PROD0034,Electronics Smartphones 034,Electronics,1026,14497702.66,4824010.36,33.27,441
PROD0115,Beauty Skincare 115,Beauty,932,14377843.95,3539848.95,24.62,399
PROD0075,Fashion Men 075,Fashion,965,14326240.17,4250839.22,29.67,405
PROD0032,Electronics Accessories 032,Electronics,947,14251350.97,4299792.0,30.17,385
PROD0068,Home Appliances 068,Home,1120,14245044.18,1430967.38,10.05,451
PROD0119,Beauty Skincare 119,Beauty,991,14098989.8,4900577.35,34.76,416
PROD0098,Fashion Footwear 098,Fashion,986,13897143.59,4793208.39,34.49,425
PROD0003,Electronics Smartphones 003,Electronics,968,13862082.21,2928493.17,21.13,420
PROD0161,Sports Sportswear 161,Sports,962,13770569.44,3580411.28,26.0,392
PROD0170,Sports Fitness 170,Sports,984,13468665.33,1687390.77,12.53,434
PROD0064,Home Appliances 064,Home,1055,13433507.92,2272061.57,16.91,423
PROD0162,Sports Outdoor 162,Sports,997,13419148.49,4718120.12,35.16,444
PROD0022,Electronics Accessories 022,Electronics,931,13222946.68,2433578.37,18.4,399
PROD0157,Sports Fitness 157,Sports,998,12978297.41,2012473.01,15.51,441
PROD0060,Home Kitchen 060,Home,937,12902683.76,2775231.7,21.51,407
PROD0149,Sports Equipment 149,Sports,938,12876719.42,4104337.06,31.87,386
PROD0004,Electronics Accessories 004,Electronics,877,12675566.66,2687387.35,21.2,371
PROD0088,Fashion Accessories 088,Fashion,890,12659830.57,4676922.17,36.94,389
PROD0179,Sports Fitness 179,Sports,923,12656109.98,2153265.29,17.01,408
PROD0113,Beauty Haircare 113,Beauty,964,12612426.83,1429091.75,11.33,421
PROD0006,Electronics Accessories 006,Electronics,1005,12525018.38,3209783.93,25.63,410
PROD0172,Sports Sportswear 172,Sports,991,12276115.74,3847799.48,31.34,404
PROD0136,Beauty Fragrance 136,Beauty,928,12274044.36,1273523.08,10.38,399
PROD0052,Home Appliances 052,Home,819,12117224.31,2367856.5,19.54,369
PROD0029,Electronics Audio 029,Electronics,968,12114330.6,2897857.4,23.92,404
PROD0083,Fashion Accessories 083,Fashion,979,12077062.89,4272817.54,35.38,407
PROD0171,Sports Equipment 171,Sports,973,11857956.25,2445884.0,20.63,415
PROD0093,Fashion Men 093,Fashion,948,11839109.06,2604441.98,22.0,396
PROD0070,Home Kitchen 070,Home,942,11807173.49,3822574.25,32.38,387
PROD0101,Fashion Women 101,Fashion,1065,11753721.66,3580954.26,30.47,432
PROD0044,Home Kitchen 044,Home,942,11640030.1,2574740.2,22.12,416
PROD0138,Beauty Skincare 138,Beauty,986,11385238.28,3338492.28,29.32,403
PROD0026,Electronics Audio 026,Electronics,1043,11376568.95,4047022.04,35.57,434
PROD0023,Electronics Laptops 023,Electronics,1028,11352877.46,1779062.06,15.67,414
PROD0108,Fashion Accessories 108,Fashion,1013,11340007.25,1903000.55,16.78,434
PROD0167,Sports Outdoor 167,Sports,1021,11320520.94,2614790.87,23.1,427
PROD0078,Fashion Men 078,Fashion,1052,11211509.1,2846688.9,25.39,442
PROD0094,Fashion Accessories 094,Fashion,972,11189512.18,2117330.74,18.92,409
PROD0133,Beauty Skincare 133,Beauty,996,11185131.49,3864810.37,34.55,428
PROD0018,Electronics Smartphones 018,Electronics,984,11131302.22,953111.26,8.56,418
PROD0010,Electronics Smartphones 010,Electronics,1021,10930313.67,1653323.89,15.13,421
PROD0125,Beauty Fragrance 125,Beauty,956,10665973.48,1008987.28,9.46,392
PROD0126,Beauty Skincare 126,Beauty,989,10471771.47,1870863.74,17.87,386
PROD0097,Fashion Men 097,Fashion,1037,10359326.27,3605697.85,34.81,415
PROD0165,Sports Outdoor 165,Sports,986,10340829.74,1371897.66,13.27,426
PROD0118,Beauty Fragrance 118,Beauty,955,10161863.89,1779819.34,17.51,416
PROD0176,Sports Equipment 176,Sports,927,10067649.15,3621189.18,35.97,399
PROD0030,Electronics Accessories 030,Electronics,1030,9668409.83,2937287.73,30.38,417
PROD0124,Beauty Skincare 124,Beauty,1046,9652473.37,2453744.47,25.42,427
PROD0019,Electronics Laptops 019,Electronics,1090,9589544.58,3277060.28,34.17,464
PROD0135,Beauty Skincare 135,Beauty,903,9514430.45,1569258.53,16.49,402
PROD0123,Beauty Skincare 123,Beauty,1012,9409392.85,3044459.33,32.36,427
PROD0071,Home Decor 071,Home,996,9382825.05,1125497.01,12.0,404
PROD0001,Electronics Audio 001,Electronics,845,9204443.68,2280555.93,24.78,362
PROD0013,Electronics Audio 013,Electronics,963,9081876.65,2133263.48,23.49,407
PROD0027,Electronics Accessories 027,Electronics,963,9028928.44,1116718.21,12.37,397
PROD0037,Home Kitchen 037,Home,1005,8856296.8,3077486.5,34.75,426
PROD0163,Sports Fitness 163,Sports,981,8838938.5,2534404.66,28.67,423
PROD0109,Beauty Skincare 109,Beauty,1072,8737357.05,3188567.13,36.49,439
PROD0017,Electronics Laptops 017,Electronics,952,8639374.58,794256.74,9.19,403
PROD0131,Beauty Haircare 131,Beauty,1061,8485224.09,1817677.28,21.42,436
PROD0148,Sports Equipment 148,Sports,1061,8423437.54,855685.28,10.16,439
PROD0160,Sports Equipment 160,Sports,994,8178419.95,2454808.91,30.02,420
PROD0130,Beauty Haircare 130,Beauty,978,8110542.01,2799640.15,34.52,414
PROD0105,Fashion Footwear 105,Fashion,841,8052054.14,2552031.88,31.69,363
PROD0057,Home Furniture 057,Home,924,7924170.5,1273625.06,16.07,391
PROD0033,Electronics Smartphones 033,Electronics,976,7809945.74,1289582.54,16.51,414
PROD0175,Sports Sportswear 175,Sports,1042,7631121.83,1165480.57,15.27,412
PROD0073,Fashion Accessories 073,Fashion,954,7519212.49,2621395.57,34.86,405
PROD0008,Electronics Audio 008,Electronics,915,7422567.45,2681366.85,36.12,390
PROD0107,Fashion Women 107,Fashion,984,7326943.97,554878.85,7.57,419
PROD0153,Sports Outdoor 153,Sports,968,7251069.07,2001982.59,27.61,414
PROD0085,Fashion Men 085,Fashion,1061,7127486.88,722728.55,10.14,435
PROD0061,Home Appliances 061,Home,988,6825171.82,1526122.74,22.36,413
PROD0084,Fashion Men 084,Fashion,898,6815115.41,1624684.39,23.84,389
PROD0050,Home Kitchen 050,Home,980,6793634.34,688048.14,10.13,403
PROD0152,Sports Equipment 152,Sports,904,6735669.72,1725647.48,25.62,389
PROD0168,Sports Equipment 168,Sports,990,6664926.22,2106283.12,31.6,429
PROD0051,Home Kitchen 051,Home,1017,6647724.23,897138.41,13.5,414
PROD0103,Fashion Accessories 103,Fashion,974,6503367.61,1235576.27,19.0,423
PROD0076,Fashion Footwear 076,Fashion,955,6499023.71,484662.91,7.46,393
PROD0047,Home Appliances 047,Home,984,6427849.5,913237.98,14.21,432
PROD0122,Beauty Haircare 122,Beauty,1105,6379232.32,1209743.97,18.96,457
PROD0080,Fashion Footwear 080,Fashion,988,6350622.5,1029126.06,16.21,411
PROD0177,Sports Equipment 177,Sports,1060,6260162.52,1831524.92,29.26,433
PROD0014,Electronics Accessories 014,Electronics,995,6236013.15,1588248.75,25.47,404
PROD0066,Home Appliances 066,Home,1057,5913084.55,851344.09,14.4,447
PROD0009,Electronics Audio 009,Electronics,934,5879039.55,1479058.95,25.16,427
PROD0040,Home Appliances 040,Home,900,5826478.67,1837921.67,31.54,395
PROD0002,Electronics Laptops 002,Electronics,1045,5822873.37,1156028.77,19.85,449
PROD0007,Electronics Audio 007,Electronics,966,5796805.84,1441932.94,24.87,435
PROD0134,Beauty Skincare 134,Beauty,957,5764957.69,1094079.94,18.98,408
PROD0090,Fashion Men 090,Fashion,992,5739622.04,983170.52,17.13,417
PROD0024,Electronics Audio 024,Electronics,941,5719765.54,857317.42,14.99,402
PROD0038,Home Furniture 038,Home,1061,5714660.38,467527.32,8.18,456
PROD0169,Sports Equipment 169,Sports,980,5674078.61,1872492.01,33.0,433
PROD0128,Beauty Makeup 128,Beauty,966,5671667.17,2089024.33,36.83,417
PROD0120,Beauty Haircare 120,Beauty,947,5609052.01,1506202.92,26.85,401
PROD0072,Home Kitchen 072,Home,901,5568489.57,572741.9,10.29,404
PROD0046,Home Appliances 046,Home,1052,5504589.95,1403515.23,25.5,426
PROD0166,Sports Equipment 166,Sports,901,5219485.86,957737.84,18.35,401
PROD0102,Fashion Men 102,Fashion,1084,5193037.35,1802144.43,34.7,473
PROD0104,Fashion Women 104,Fashion,1050,5084164.58,1420305.08,27.94,430
PROD0079,Fashion Footwear 079,Fashion,995,5037332.29,1509390.64,29.96,415
PROD0005,Electronics Accessories 005,Electronics,1013,4945620.32,375977.32,7.6,428
PROD0025,Electronics Laptops 025,Electronics,1020,4915828.54,1571717.74,31.97,420
PROD0114,Beauty Skincare 114,Beauty,967,4885350.35,1072923.84,21.96,421
PROD0147,Sports Outdoor 147,Sports,1023,4866632.88,1514251.65,31.11,434
PROD0016,Electronics Laptops 016,Electronics,1049,4830825.62,1504950.14,31.15,448
PROD0129,Beauty Fragrance 129,Beauty,1028,4830016.83,1367034.35,28.3,427
PROD0099,Fashion Accessories 099,Fashion,1010,4754718.52,1522668.02,32.02,411
PROD0178,Sports Outdoor 178,Sports,1108,4652964.02,1347644.9,28.96,466
PROD0069,Home Decor 069,Home,934,4634600.34,1440198.92,31.07,420
PROD0011,Electronics Accessories 011,Electronics,988,4219050.09,1075658.93,25.5,430
PROD0143,Beauty Fragrance 143,Beauty,957,4185174.5,1243959.41,29.72,440
PROD0111,Beauty Skincare 111,Beauty,980,4092422.91,1270650.11,31.05,406
PROD0106,Fashion Footwear 106,Fashion,1046,4051006.5,1241785.22,30.65,435
PROD0063,Home Furniture 063,Home,1052,4039945.96,1485826.72,36.78,433
PROD0048,Home Furniture 048,Home,1061,4039555.17,479157.47,11.86,424
PROD0065,Home Kitchen 065,Home,1001,3966807.35,559503.45,14.1,437
PROD0056,Home Furniture 056,Home,1071,3939274.53,390173.31,9.9,436
