Region_ID,Region,Orders,Customers,Units_Sold,Revenue,Profit,Profit_Margin_Percent
R010,North,3423,270,8048,62018868.77,15081725.51,24.32
R016,South,3351,270,8002,60793443.84,15054323.08,24.76
R012,East,3176,252,7557,59016775.67,14394347.75,24.39
R013,East,3149,250,7466,57432530.12,13911127.14,24.22
R001,West,3120,251,7533,57291084.41,13873429.45,24.22
R019,South,3065,245,7284,56816977.3,13994283.62,24.63
R018,South,3106,249,7314,56736100.91,13922039.93,24.54
R007,North,3092,254,7413,56662601.89,13632532.88,24.06
R005,North,3021,241,7157,55801455.08,13592293.37,24.36
R009,North,3055,246,7265,55745634.78,13845945.45,24.84
R023,South,3061,244,7176,55028194.09,13502673.09,24.54
R025,Central,3076,247,7109,54432599.19,13382915.44,24.59
R017,South,3023,246,7115,53353217.01,12985975.51,24.34
R003,West,2940,231,6984,53307380.49,13173935.87,24.71
R015,South,2871,232,6794,53043517.74,13036433.45,24.58
R020,South,2886,229,6831,52908898.93,13037669.74,24.64
R022,South,2926,240,6839,52692788.45,13044708.33,24.76
R021,South,2866,227,6767,52461439.25,12877007.89,24.55
R002,West,2913,232,6827,52409297.51,12827894.61,24.48
R006,North,2830,224,6764,52337762.36,12711869.27,24.29
R011,North,2880,230,6808,52151407.41,12687508.55,24.33
R004,West,2900,235,6793,51950987.34,12957278.96,24.94
R024,Central,2932,240,6888,51678178.75,12659590.56,24.5
R008,North,2619,206,6207,48109034.6,11709190.29,24.34
R014,East,2639,209,6236,47444860.85,11688054.78,24.64
