Return_ID,Order_ID,Return_Date,Customer_ID,Product_ID,Return_Quantity,Return_Reason,Refund_Amount,Return_Status
RET00001,ORD025670,2026-03-22,CUST00660,PROD0168,1,Changed Mind,7461.76,Approved
RET00002,ORD030966,2024-07-19,CUST00897,PROD0016,1,Changed Mind,5085.97,Approved
RET00003,ORD031546,2024-03-31,CUST04177,PROD0003,1,Wrong Item,15842.07,Approved
RET00004,ORD009890,2025-04-11,CUST00375,PROD0033,1,Late Delivery,8818.49,Approved
RET00005,ORD030214,2025-11-28,CUST00216,PROD0018,1,Quality Issue,12486.26,Approved
RET00006,ORD026225,2024-12-25,CUST02864,PROD0069,1,Quality Issue,5482.32,Approved
RET00007,ORD059962,2025-03-23,CUST00767,PROD0151,2,Changed Mind,7616.72,Approved
RET00008,ORD066576,2024-01-20,CUST02966,PROD0005,1,Damaged,5395.83,Approved
RET00009,ORD074452,2025-10-15,CUST02532,PROD0146,1,Late Delivery,2879.6,Approved
RET00010,ORD057327,2024-03-04,CUST03791,PROD0051,2,Wrong Item,14489.6,Approved
RET00011,ORD073112,2024-06-20,CUST01611,PROD0026,1,Changed Mind,12026.19,Approved
RET00012,ORD060267,2025-01-01,CUST01225,PROD0121,1,Changed Mind,15732.26,Pending
RET00013,ORD072757,2026-05-24,CUST04141,PROD0008,1,Damaged,8891.61,Approved
RET00014,ORD071789,2025-09-29,CUST00967,PROD0075,2,Damaged,32716.58,Approved
RET00015,ORD027381,2025-09-13,CUST04435,PROD0075,2,Wrong Item,32716.58,Approved
RET00016,ORD032204,2024-04-19,CUST05591,PROD0108,1,Changed Mind,12361.97,Approved
RET00017,ORD063434,2024-04-20,CUST00480,PROD0180,1,Late Delivery,1990.36,Pending
RET00018,ORD061526,2024-06-03,CUST00800,PROD0106,1,Late Delivery,4279.13,Approved
RET00019,ORD023843,2026-02-01,CUST04602,PROD0162,1,Changed Mind,14802.17,Approved
RET00020,ORD009044,2025-11-15,CUST04920,PROD0124,2,Changed Mind,20285.9,Approved
RET00021,ORD030579,2025-08-15,CUST02673,PROD0011,2,Damaged,9422.54,Approved
RET00022,ORD033792,2025-11-10,CUST05912,PROD0173,1,Damaged,1727.4,Approved
RET00023,ORD041685,2024-05-05,CUST03843,PROD0017,1,Quality Issue,9986.93,Approved
RET00024,ORD059354,2024-11-15,CUST05616,PROD0173,2,Late Delivery,3454.8,Approved
