Target_ID,Date,Region_ID,Category,Sales_Target,Profit_Target
TAR000001,2024-01-01,R003,Electronics,448653.93,58398.55
TAR000002,2024-01-01,R003,Home,195059.83,86383.75
TAR000003,2024-01-01,R003,Fashion,565903.72,98187.06
TAR000004,2024-01-01,R003,Beauty,511100.87,93803.95
TAR000005,2024-01-01,R003,Sports,234473.75,43881.68
TAR000006,2024-01-01,R007,Electronics,345382.68,119842.27
TAR000007,2024-01-01,R007,Home,374822.57,71195.13
TAR000008,2024-01-01,R007,Fashion,372824.49,80924.08
TAR000009,2024-01-01,R007,Beauty,472091.74,82062.85
TAR000010,2024-01-01,R007,Sports,237244.74,64610.93
TAR000011,2024-01-01,R017,Electronics,676322.8,124394.03
TAR000012,2024-01-01,R017,Home,496420.18,59390.16
TAR000013,2024-01-01,R017,Fashion,555788.63,86719.12
TAR000014,2024-01-01,R017,Beauty,498253.99,87907.65
TAR000015,2024-01-01,R017,Sports,318645.55,118357.93
TAR000016,2024-01-01,R021,Electronics,595820.37,81435.18
TAR000017,2024-01-01,R021,Home,191641.09,81346.09
TAR000018,2024-01-01,R021,Fashion,459289.57,47163.12
TAR000019,2024-01-01,R021,Beauty,172965.1,93904.54
TAR000020,2024-01-01,R021,Sports,503652.84,47467.58
TAR000021,2024-01-01,R016,Electronics,692736.13,39986.08
TAR000022,2024-01-01,R016,Home,599408.79,123907.61
TAR000023,2024-01-01,R016,Fashion,650688.28,63772.18
TAR000024,2024-01-01,R016,Beauty,565634.88,92933.94
TAR000025,2024-01-01,R016,Sports,167807.72,88908.63
TAR000026,2024-01-01,R018,Electronics,398989.25,101744.96
TAR000027,2024-01-01,R018,Home,663044.08,108164.2
TAR000028,2024-01-01,R018,Fashion,544846.7,53884.74
TAR000029,2024-01-01,R018,Beauty,303921.9,77467.38
TAR000030,2024-01-01,R018,Sports,621767.5,129084.48
TAR000031,2024-01-01,R023,Electronics,621784.6,83506.46
TAR000032,2024-01-01,R023,Home,288836.27,63989.8
TAR000033,2024-01-01,R023,Fashion,378151.14,80730.75
TAR000034,2024-01-01,R023,Beauty,521039.56,55111.34
TAR000035,2024-01-01,R023,Sports,555103.25,69539.96
TAR000036,2024-01-01,R012,Electronics,551096.65,43393.24
TAR000037,2024-01-01,R012,Home,252626.86,80822.04
TAR000038,2024-01-01,R012,Fashion,290308.31,81572.15
TAR000039,2024-01-01,R012,Beauty,475478.97,34134.56
TAR000040,2024-01-01,R012,Sports,210771.8,42740.06
TAR000041,2024-01-01,R010,Electronics,394633.94,36252.28
TAR000042,2024-01-01,R010,Home,368317.88,90536.12
TAR000043,2024-01-01,R010,Fashion,210204.84,73116.64
TAR000044,2024-01-01,R010,Beauty,357372.07,60701.24
TAR000045,2024-01-01,R010,Sports,454811.56,94136.12
TAR000046,2024-01-01,R022,Electronics,217952.59,94224.52
TAR000047,2024-01-01,R022,Home,433435.4,109699.4
TAR000048,2024-01-01,R022,Fashion,685414.39,67318.58
TAR000049,2024-01-01,R022,Beauty,332411.74,52447.42
TAR000050,2024-01-01,R022,Sports,581819.25,93250.93
